주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,261,436,"1,006","1,181","1,327"
영업이익,-48,-121,154,139,164
영업이익(발표기준),-48,-121,154,139,164
세전계속사업이익,-88,-105,137,-41,-236
당기순이익,-75,-84,112,-44,-246
  당기순이익(지배),-74,-84,113,-44,-246
  당기순이익(비지배),-1,0,-1,,0
자산총계,"1,106","1,673","1,697","2,339","3,192"
부채총계,634,"1,286","1,201","1,694","2,030"
자본총계,472,387,497,645,"1,163"
  자본총계(지배),463,378,497,645,"1,139"
  자본총계(비지배),9,,,,24
자본금,54,54,54,57,61
영업활동현금흐름,-101,-253,235,407,-308
투자활동현금흐름,-10,-110,-55,-139,-516
재무활동현금흐름,162,220,-32,300,710
CAPEX,11,113,29,137,352
FCF,-113,-366,206,270,-660
이자발생부채,20,198,168,220,516
영업이익률,-18.38,-27.69,15.31,11.78,12.32
순이익률,-28.73,-19.22,11.13,-3.74,-18.54
ROE(%),-18.41,-19.92,25.61,-7.73,
ROA(%),-7.60,-6.03,7.09,-2.19,
부채비율,134.38,332.50,241.74,262.76,174.55
자본유보율,776.89,618.41,827.14,"1,021.70","1,721.98"
EPS(원),-144,-156,209,-78,-422
PER(배),N/A,N/A,12.57,N/A,N/A
BPS(원),869,709,926,"1,121","1,854"
PBR(배),1.96,3.28,2.83,8.41,7.77
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"53,624,705","53,624,705","53,624,705","57,491,676","61,437,486"
