주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,37,39,48,53,44
영업이익,-26,-34,-45,-85,-101
영업이익(발표기준),-26,-34,-45,-85,-101
세전계속사업이익,-24,-31,-43,-88,-193
당기순이익,-24,-31,-43,-88,-193
  당기순이익(지배),-24,-31,-43,-88,-193
  당기순이익(비지배),,,,,
자산총계,150,128,337,734,"1,164"
부채총계,18,21,29,389,285
자본총계,132,108,309,345,879
  자본총계(지배),132,108,309,345,879
  자본총계(비지배),,,,,
자본금,16,16,19,19,29
영업활동현금흐름,-16,-20,-25,-80,-84
투자활동현금흐름,115,-2,-262,-265,65
재무활동현금흐름,0,0,233,423,507
CAPEX,6,1,4,189,10
FCF,-21,-22,-29,-268,-94
이자발생부채,0,0,7,358,239
영업이익률,-71.28,-86.81,-94.47,-160.28,-231.68
순이익률,-64.34,-79.89,-90.85,-164.97,-441.72
ROE(%),-16.61,-26.19,-20.88,-26.82,-31.51
ROA(%),-14.77,-22.54,-18.66,-16.36,-20.32
부채비율,13.87,19.09,9.36,112.74,32.44
자본유보율,702.64,512.90,"1,446.99","1,656.08","2,865.36"
EPS(원),-738,-976,"-1,316","-2,269","-4,532"
PER(배),,,N/A,N/A,N/A
BPS(원),"4,100","3,348","8,101","8,859","14,957"
PBR(배),0.00,0.00,4.64,5.78,3.26
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,210,431","3,219,031","3,808,948","3,892,348","5,873,672"
