주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,840,962,"1,116","1,305","1,534"
영업이익,240,279,190,173,220
영업이익(발표기준),240,279,190,173,220
세전계속사업이익,225,278,161,169,227
당기순이익,168,200,102,131,190
  당기순이익(지배),168,200,102,131,190
  당기순이익(비지배),,,,,
자산총계,693,"1,101","1,262","1,509","1,962"
부채총계,243,261,261,279,395
자본총계,449,840,"1,001","1,230","1,567"
  자본총계(지배),449,840,"1,001","1,230","1,567"
  자본총계(비지배),,,,,
자본금,64,260,329,430,480
영업활동현금흐름,188,244,94,207,277
투자활동현금흐름,-69,-15,-36,-326,-318
재무활동현금흐름,5,215,-16,60,38
CAPEX,69,15,34,324,319
FCF,119,229,60,-117,-42
이자발생부채,151,165,149,111,158
영업이익률,28.59,29.03,17.00,13.26,14.37
순이익률,19.97,20.82,9.16,10.01,12.38
ROE(%),44.77,31.07,11.11,11.70,13.58
ROA(%),27.18,22.34,8.66,9.42,10.94
부채비율,54.16,31.03,26.02,22.68,25.23
자본유보율,604.22,222.44,204.56,186.24,226.71
EPS(원),559,646,250,274,396
PER(배),,2.16,8.56,5.22,2.84
BPS(원),"1,498","2,079","2,313","2,565","3,266"
PBR(배),0.00,0.67,0.93,0.56,0.34
현금DPS(원),0,46,11,10,
현금배당수익률,,3.28,0.51,0.71,
현금배당성향(%),0.00,9.23,4.61,3.73,
발행주식수(보통주),"30,000,000","40,409,095","43,298,056","47,973,428","47,973,428"
