주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,23,51,71,112,58
영업이익,1,-2,3,7,-20
영업이익(발표기준),1,-2,3,7,-20
세전계속사업이익,0,-1,1,5,-19
당기순이익,1,-1,1,7,-21
  당기순이익(지배),1,-1,1,7,-21
  당기순이익(비지배),,,,,
자산총계,34,51,62,119,314
부채총계,14,33,43,87,68
자본총계,19,18,19,31,245
  자본총계(지배),19,18,19,31,245
  자본총계(비지배),,,,,
자본금,11,11,11,11,30
영업활동현금흐름,1,-5,12,19,8
투자활동현금흐름,-1,-2,0,-4,-179
재무활동현금흐름,14,0,-6,0,219
CAPEX,0,0,2,1,4
FCF,1,-5,10,19,5
이자발생부채,10,10,23,24,30
영업이익률,3.21,-3.59,3.62,6.18,-34.72
순이익률,3.85,-2.68,0.85,6.27,-36.96
ROE(%),6.28,-7.29,3.24,27.84,-15.45
ROA(%),3.37,-3.23,1.07,7.76,-9.88
부채비율,73.68,181.37,223.51,280.37,27.84
자본유보율,71.13,58.82,69.02,168.35,713.90
EPS(원),22,-31,13,155,-367
PER(배),298.66,N/A,445.37,165.12,N/A
BPS(원),437,408,426,682,"4,070"
PBR(배),14.86,12.27,14.07,37.48,7.90
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,,,0.00,
발행주식수(보통주),"4,455,040","4,455,040","4,474,040","4,574,284","6,027,284"
