주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,875","7,156","9,105","7,778","10,520","13,385","13,340","13,932"
영업이익,288,342,707,650,876,"1,404","1,282","1,282"
영업이익(발표기준),288,342,707,650,876,,,
세전계속사업이익,294,405,709,664,"1,060","1,525","1,418","1,422"
당기순이익,295,376,604,547,808,"1,110","1,098","1,142"
  당기순이익(지배),166,226,357,404,752,"1,045",947,957
  당기순이익(비지배),129,150,247,143,56,,,
자산총계,"6,039","6,369","6,922","7,297","8,210","9,392","9,880","10,840"
부채총계,"1,756","1,732","1,713","1,736","1,865","2,089","1,997","2,021"
자본총계,"4,283","4,637","5,209","5,562","6,344","7,302","7,883","8,819"
  자본총계(지배),"3,820","4,030","4,356","4,670","5,354","6,272","6,892","7,829"
  자본총계(비지배),463,,854,892,990,,,
자본금,86,86,86,86,86,86,86,86
영업활동현금흐름,364,619,"1,020",430,"1,006",924,"1,129","1,173"
투자활동현금흐름,-56,-306,-603,-592,180,-180,-195,-210
재무활동현금흐름,30,-190,-191,-279,-283,-94,-125,-141
CAPEX,289,130,207,193,365,114,140,154
FCF,76,489,812,238,641,925,,
이자발생부채,705,578,473,306,279,,,
영업이익률,4.19,4.78,7.76,8.36,8.32,10.49,9.61,9.20
순이익률,4.29,5.26,6.63,7.03,7.68,8.29,8.23,8.20
ROE(%),4.36,5.76,8.50,8.95,15.00,17.97,14.39,13.00
ROA(%),4.81,6.07,9.09,7.70,10.42,12.61,11.39,11.02
부채비율,40.99,37.35,32.88,31.21,29.40,28.61,25.33,22.92
자본유보율,"4,357.38","4,612.47","4,979.32","5,405.72","6,239.35",,,
EPS(원),967,"1,314","2,073","2,347","4,371","6,074","5,506","5,564"
PER(배),11.06,8.75,6.22,12.84,7.38,6.65,7.34,7.26
BPS(원),"22,211","23,429","25,323","27,458","32,446","38,242","42,022","47,735"
PBR(배),0.48,0.49,0.51,1.10,0.99,1.06,0.96,0.85
현금DPS(원),200,200,250,250,470,535,700,800
현금배당수익률,1.87,1.74,1.94,0.83,1.46,1.32,1.73,1.98
현금배당성향(%),20.68,15.22,12.06,10.53,10.35,8.81,12.71,14.38
발행주식수(보통주),"17,200,000","17,200,000","17,200,000","17,200,000","17,200,000",,,
