주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,719,869,"1,153","1,560","2,101"
영업이익,49,31,126,140,152
영업이익(발표기준),49,31,126,140,152
세전계속사업이익,73,63,161,161,320
당기순이익,65,58,131,184,270
  당기순이익(지배),65,58,131,184,270
  당기순이익(비지배),,,,,
자산총계,"2,529","2,430","2,840","3,150","3,010"
부채총계,668,673,950,"1,081",673
자본총계,"1,862","1,757","1,891","2,069","2,337"
  자본총계(지배),"1,862","1,757","1,891","2,069","2,337"
  자본총계(비지배),,,,,
자본금,42,42,42,42,42
영업활동현금흐름,101,121,398,834,358
투자활동현금흐름,-221,-55,-398,-612,-436
재무활동현금흐름,82,-44,6,-71,-2
CAPEX,349,332,422,664,329
FCF,-248,-211,-24,169,29
이자발생부채,92,57,68,0,0
영업이익률,6.83,3.52,10.94,8.95,7.24
순이익률,9.01,6.69,11.39,11.77,12.84
ROE(%),3.49,3.21,7.20,9.28,12.25
ROA(%),2.59,2.34,4.98,6.13,8.76
부채비율,35.85,38.27,50.23,52.26,28.82
자본유보율,"3,416.75","3,486.18","3,773.67","4,183.22","4,863.67"
EPS(원),776,696,"1,572","2,199","3,231"
PER(배),8.75,7.41,4.00,2.86,1.94
BPS(원),"22,298","21,048","22,641","24,775","27,983"
PBR(배),0.30,0.25,0.28,0.25,0.22
현금DPS(원),75,50,25,25,25
현금배당수익률,1.10,0.97,0.40,0.40,0.40
현금배당성향(%),9.67,7.18,1.59,1.14,0.77
발행주식수(보통주),"8,350,000","8,350,000","8,350,000","8,350,000","8,350,000"
