주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,18,4,12,20,16
영업이익,-103,-80,-88,-109,-107
영업이익(발표기준),-103,-80,-88,-109,-107
세전계속사업이익,-95,-83,-141,-104,-543
당기순이익,-95,-85,-142,-105,-543
  당기순이익(지배),-95,-85,-142,-105,-543
  당기순이익(비지배),,,,,
자산총계,84,79,95,134,446
부채총계,54,54,205,334,125
자본총계,29,25,-110,-200,321
  자본총계(지배),29,25,-110,-200,321
  자본총계(비지배),,,,,
자본금,56,62,62,63,94
영업활동현금흐름,-88,-66,-66,-96,-94
투자활동현금흐름,-9,-20,-13,-18,-191
재무활동현금흐름,62,77,89,135,399
CAPEX,8,16,4,3,0
FCF,-96,-82,-70,-99,-94
이자발생부채,38,41,182,241,46
영업이익률,-563.76,"-2,149.27",-717.39,-544.27,-651.31
순이익률,-517.68,"-2,291.13","-1,155.51",-525.41,"-3,311.51"
ROE(%),-228.77,-317.98,,67.47,-899.47
ROA(%),-88.81,-104.99,,-91.66,-187.14
부채비율,187.34,221.25,-186.14,-166.72,39.00
자본유보율,-50.39,-60.33,-277.23,-419.32,242.66
EPS(원),-953,-710,"-1,073",-756,"-3,500"
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),258,198,-796,"-1,435","1,712"
PBR(배),20.83,25.01,N/A,N/A,8.53
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"11,253,670","12,396,976","12,408,976","12,536,060","18,754,137"
