주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,556","1,712","2,305","2,470","2,520","2,646","2,911"
영업이익,24,69,81,115,105,131,175
영업이익(발표기준),24,69,81,115,105,,
세전계속사업이익,-24,79,94,121,-30,141,190
당기순이익,-34,59,73,95,-49,107,144
  당기순이익(지배),-34,59,73,95,-35,137,144
  당기순이익(비지배),,,,,-14,,
자산총계,"1,395","2,220","2,315","2,505","3,071","3,155","3,348"
부채총계,485,766,788,885,"1,993","1,971","2,020"
자본총계,910,"1,454","1,527","1,620","1,078","1,184","1,328"
  자본총계(지배),910,"1,454","1,527","1,620","1,386","1,522","1,666"
  자본총계(비지배),,,,,-308,,
자본금,246,291,291,291,291,291,291
영업활동현금흐름,79,34,29,7,277,398,276
투자활동현금흐름,-150,-163,-94,-30,-120,-100,-135
재무활동현금흐름,267,-23,-10,-10,-25,-74,-60
CAPEX,5,24,20,10,4,50,50
FCF,74,10,9,-3,272,345,218
이자발생부채,0,,74,67,152,,
영업이익률,1.54,4.02,3.53,4.64,4.17,4.95,6.01
순이익률,-2.19,3.47,3.17,3.84,-1.94,4.04,4.95
ROE(%),-4.28,,4.91,6.02,,9.42,9.03
ROA(%),-2.73,,3.23,3.93,,3.44,4.43
부채비율,53.32,52.66,51.63,54.61,184.97,166.47,152.11
자본유보율,267.54,406.50,431.17,462.84,450.83,,
EPS(원),-72,116,126,163,-61,236,248
PER(배),N/A,41.45,28.01,23.35,N/A,19.94,18.97
BPS(원),"1,849","2,518","2,644","2,806","2,399","2,636","2,885"
PBR(배),2.57,1.91,1.33,1.36,2.35,1.78,1.63
현금DPS(원),0,,,,,0,0
현금배당수익률,0.00,,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"49,192,753","58,115,438","58,115,438","58,115,438","58,115,438",,
