주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,35,110,170,244,374,576,732
영업이익,4,40,69,123,182,284,366
영업이익(발표기준),4,40,69,123,182,,
세전계속사업이익,3,29,67,121,142,282,360
당기순이익,4,23,56,97,107,218,276
  당기순이익(지배),4,23,56,97,107,219,276
  당기순이익(비지배),,,,,-1,,
자산총계,75,133,210,379,885,865,"1,083"
부채총계,25,59,32,94,79,123,146
자본총계,50,74,178,285,805,742,937
  자본총계(지배),50,74,178,285,787,653,937
  자본총계(비지배),,,,,18,,
자본금,29,29,31,31,72,61,50
영업활동현금흐름,0,31,50,100,134,197,266
투자활동현금흐름,-3,-19,-54,-16,-226,-64,-10
재무활동현금흐름,4,16,-1,48,340,-5,8
CAPEX,2,5,59,11,153,74,0
FCF,-2,26,-9,90,-20,134,254
이자발생부채,18,45,1,39,22,,
영업이익률,11.39,36.00,40.47,50.59,48.71,49.26,50.10
순이익률,10.76,21.08,33.04,39.82,28.52,37.90,37.73
ROE(%),,,44.60,41.85,20.00,30.42,34.72
ROA(%),,,32.81,32.93,16.89,24.98,28.34
부채비율,49.26,80.20,17.66,33.01,9.86,16.58,15.58
자본유보율,54.74,130.42,443.30,750.23,"1,104.64",,
EPS(원),32,195,459,778,825,"1,516","1,906"
PER(배),,,,,33.33,16.03,12.75
BPS(원),422,613,"1,430","2,285","5,617","4,636","6,655"
PBR(배),0.00,0.00,0.00,0.00,4.90,5.24,3.65
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"11,663,000","11,663,000","12,479,000","12,479,000","14,363,528",,
