주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,354,336,296,377,396
영업이익,-25,18,-32,13,64
영업이익(발표기준),-25,18,-32,13,64
세전계속사업이익,-66,-11,-32,6,-100
당기순이익,-66,-12,-32,6,-100
  당기순이익(지배),-66,-12,-32,6,-100
  당기순이익(비지배),,,,,
자산총계,604,524,562,957,"1,169"
부채총계,430,304,314,592,567
자본총계,173,220,248,365,602
  자본총계(지배),173,220,248,365,602
  자본총계(비지배),,,,,
자본금,50,55,60,67,99
영업활동현금흐름,41,25,-18,-68,118
투자활동현금흐름,28,71,-14,-278,-160
재무활동현금흐름,-50,-112,56,352,104
CAPEX,18,7,11,3,91
FCF,23,18,-29,-71,27
이자발생부채,384,266,269,530,429
영업이익률,-7.02,5.39,-10.93,3.45,16.24
순이익률,-18.65,-3.57,-10.75,1.68,-25.34
ROE(%),-34.40,-6.10,-13.56,,-20.79
ROA(%),-9.56,-2.13,-5.85,,-9.45
부채비율,248.22,137.92,126.46,162.50,94.21
자본유보율,284.79,334.76,347.70,471.12,415.21
EPS(원),-341,-57,-140,26,-275
PER(배),N/A,N/A,N/A,83.02,N/A
BPS(원),876,"1,010","1,049","1,369","1,524"
PBR(배),2.59,2.06,2.88,1.59,2.70
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"20,077,428","22,086,836","23,942,122","26,898,304","39,762,312"
