주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,276","2,789","3,223","3,493","4,715"
영업이익,57,56,107,118,42
영업이익(발표기준),57,56,107,118,42
세전계속사업이익,42,23,44,-19,-96
당기순이익,32,9,14,-42,-89
  당기순이익(지배),32,9,14,-42,-89
  당기순이익(비지배),,,,,
자산총계,"2,582","2,728","2,798","2,806","3,916"
부채총계,529,659,748,867,"1,733"
자본총계,"2,053","2,069","2,050","1,939","2,182"
  자본총계(지배),"2,053","2,069","2,050","1,939","2,182"
  자본총계(비지배),,,,,
자본금,357,357,357,357,490
영업활동현금흐름,283,508,499,602,380
투자활동현금흐름,-361,-333,-501,-557,30
재무활동현금흐름,,,-19,-20,-22
CAPEX,98,24,29,42,28
FCF,186,485,470,560,352
이자발생부채,0,0,106,116,133
영업이익률,2.52,1.99,3.32,3.38,0.89
순이익률,1.42,0.32,0.44,-1.20,-1.89
ROE(%),1.58,0.43,0.69,-2.10,-4.32
ROA(%),1.27,0.33,0.52,-1.50,-2.65
부채비율,25.79,31.84,36.46,44.73,79.44
자본유보율,485.77,500.66,500.15,470.45,625.22
EPS(원),90,25,40,-118,-210
PER(배),71.21,195.27,135.21,N/A,N/A
BPS(원),"5,748","5,793","5,741","5,430","4,452"
PBR(배),1.12,0.83,0.94,1.06,1.63
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"35,715,022","35,715,022","35,715,022","35,715,022","49,019,283"
