주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,149,177,123,170,300
영업이익,47,53,10,45,70
영업이익(발표기준),47,53,10,45,70
세전계속사업이익,53,56,16,44,74
당기순이익,42,44,15,39,64
  당기순이익(지배),42,44,15,39,64
  당기순이익(비지배),,,,,
자산총계,162,218,238,283,521
부채총계,26,23,20,27,32
자본총계,136,195,218,256,489
  자본총계(지배),136,195,218,256,489
  자본총계(비지배),,,,,
자본금,24,24,24,24,27
영업활동현금흐름,68,58,13,40,47
투자활동현금흐름,-33,-46,-14,-54,-201
재무활동현금흐름,-39,4,,1,169
CAPEX,5,4,44,12,12
FCF,63,55,-31,28,35
이자발생부채,0,0,0,0,0
영업이익률,31.48,30.03,8.42,26.28,23.19
순이익률,28.00,24.91,12.19,22.69,21.47
ROE(%),36.21,26.68,7.26,16.30,17.30
ROA(%),25.80,23.24,6.58,14.83,16.03
부채비율,19.41,11.56,9.27,10.58,6.54
자본유보율,478.78,689.73,796.31,957.54,"1,671.09"
EPS(원),887,936,316,814,"1,290"
PER(배),,,,,28.88
BPS(원),"2,894","4,112","4,599","5,361","8,922"
PBR(배),0.00,0.00,0.00,0.00,4.17
현금DPS(원),0,0,0,0,400
현금배당수익률,,,,,1.07
현금배당성향(%),0.00,0.00,0.00,0.00,34.02
발행주식수(보통주),"4,217,948","4,745,000","4,745,000","4,775,000","5,483,000"
