주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,128,154,196,210,244
영업이익,23,30,52,56,78
영업이익(발표기준),23,30,52,56,78
세전계속사업이익,22,35,57,54,83
당기순이익,18,27,47,40,62
  당기순이익(지배),21,32,47,45,62
  당기순이익(비지배),-3,-4,1,-5,
자산총계,385,395,456,495,568
부채총계,36,46,61,52,64
자본총계,349,349,395,444,505
  자본총계(지배),352,357,402,444,505
  자본총계(비지배),-3,,,,
자본금,44,44,44,44,44
영업활동현금흐름,21,49,55,45,67
투자활동현금흐름,-7,-19,-49,-12,-41
재무활동현금흐름,,-26,-2,-3,-3
CAPEX,4,4,2,9,1
FCF,17,45,53,36,66
이자발생부채,0,0,,0,0
영업이익률,18.24,19.74,26.56,26.67,31.90
순이익률,14.10,17.64,24.19,18.88,25.61
ROE(%),6.17,8.91,12.26,9.50,13.17
ROA(%),4.75,6.96,11.15,8.37,11.74
부채비율,10.32,13.14,15.57,11.65,12.60
자본유보율,696.56,767.42,867.91,963.35,"1,101.03"
EPS(원),48,71,105,90,141
PER(배),48.74,24.90,20.05,87.97,31.62
BPS(원),797,833,937,"1,035","1,177"
PBR(배),2.91,2.14,2.25,7.63,3.79
현금DPS(원),0,5,7,7,7
현금배당수익률,0.00,0.28,0.33,0.09,0.16
현금배당성향(%),0.00,6.78,6.45,7.56,4.81
발행주식수(보통주),"44,216,140","44,216,140","44,216,140","44,216,140","44,216,140"
