주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,274","2,401","2,786","3,135","3,649"
영업이익,29,48,57,69,188
영업이익(발표기준),29,48,57,69,188
세전계속사업이익,39,43,49,78,174
당기순이익,30,33,38,61,130
  당기순이익(지배),30,33,38,61,130
  당기순이익(비지배),,,,,
자산총계,536,566,676,814,951
부채총계,238,234,315,400,418
자본총계,299,332,361,414,532
  자본총계(지배),299,332,361,414,532
  자본총계(비지배),,,,,
자본금,38,38,38,38,38
영업활동현금흐름,11,36,-81,47,-29
투자활동현금흐름,-4,-1,-1,-3,-24
재무활동현금흐름,4,-16,34,48,17
CAPEX,1,1,0,2,1
FCF,11,35,-81,45,-30
이자발생부채,96,59,124,172,206
영업이익률,1.26,1.99,2.06,2.19,5.15
순이익률,1.32,1.39,1.35,1.94,3.56
ROE(%),10.54,10.57,10.89,15.70,27.48
ROA(%),5.81,6.05,6.07,8.16,14.73
부채비율,79.47,70.49,87.38,96.60,78.63
자본유보율,697.53,780.74,840.55,979.80,"1,287.20"
EPS(원),398,441,477,793,"1,695"
PER(배),10.73,10.30,22.52,14.25,12.62
BPS(원),"3,964","4,091","4,705","5,401","6,938"
PBR(배),1.08,1.11,2.28,2.09,3.08
현금DPS(원),50,100,100,150,600
현금배당수익률,1.17,2.20,0.93,1.33,2.80
현금배당성향(%),12.55,24.35,20.33,18.91,35.40
발행주식수(보통주),"7,540,136","8,114,848","7,668,536","7,668,536","7,670,036"
