주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,209,311,319,364,427,575,675
영업이익,4,43,37,74,77,126,151
영업이익(발표기준),4,43,37,74,77,,
세전계속사업이익,4,41,25,50,61,106,127
당기순이익,3,39,19,36,48,85,103
  당기순이익(지배),3,39,19,36,48,85,103
  당기순이익(비지배),,,,,,,
자산총계,98,163,213,278,698,843,946
부채총계,74,107,166,130,151,132,139
자본총계,24,56,47,149,547,711,807
  자본총계(지배),24,56,47,149,547,711,807
  자본총계(비지배),,,,,,,
자본금,0,0,0,9,11,11,11
영업활동현금흐름,-7,7,-3,32,16,53,84
투자활동현금흐름,-10,-4,-48,-19,-245,-2,-3
재무활동현금흐름,16,-2,52,-1,318,-7,-7
CAPEX,10,1,0,1,88,1,1
FCF,-17,6,-4,31,-72,51,82
이자발생부채,43,40,107,62,57,,
영업이익률,2.04,13.83,11.73,20.38,18.03,21.91,22.37
순이익률,1.23,12.65,6.00,9.83,11.31,14.78,15.26
ROE(%),,98.91,37.43,,13.87,13.51,13.57
ROA(%),,30.19,10.18,,9.89,11.03,11.52
부채비율,308.60,192.82,356.53,87.05,27.54,18.57,17.22
자본유보율,"4,680.13","11,006.19","9,226.51","1,606.79","5,043.50",,
EPS(원),34,511,249,448,477,805,976
PER(배),,,,,42.69,21.67,17.88
BPS(원),311,723,607,"1,707","5,185","6,735","7,645"
PBR(배),0.00,0.00,0.00,0.00,3.92,2.59,2.28
현금DPS(원),0,0,0,0,70,70,70
현금배당수익률,,,,,0.34,0.40,0.40
현금배당성향(%),0.00,0.00,0.00,0.00,15.30,8.69,7.17
발행주식수(보통주),"7,685,637","7,685,637","7,685,637","8,720,000","10,556,344",,
