주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,265,321,421,577,674,714,844,908
영업이익,54,64,79,137,151,160,211,224
영업이익(발표기준),54,64,79,137,151,,,
세전계속사업이익,56,68,82,142,196,168,220,234
당기순이익,45,49,49,109,155,140,182,192
  당기순이익(지배),45,49,49,109,151,134,174,184
  당기순이익(비지배),,,,,4,,,
자산총계,357,436,534,637,882,"1,035","1,242","1,454"
부채총계,38,71,119,117,182,196,220,241
자본총계,320,365,415,520,700,839,"1,022","1,214"
  자본총계(지배),320,365,415,520,685,820,996,"1,180"
  자본총계(비지배),,,,,14,,,
자본금,60,60,61,61,61,60,60,60
영업활동현금흐름,35,44,50,124,130,134,168,183
투자활동현금흐름,-214,-15,-67,-53,-115,-24,-2,-8
재무활동현금흐름,206,4,17,-25,8,0,0,0
CAPEX,23,0,7,7,2,0,0,0
FCF,12,43,43,117,128,134,168,183
이자발생부채,0,4,22,2,3,,,
영업이익률,20.47,20.02,18.78,23.66,22.46,22.50,25.00,24.67
순이익률,17.09,15.33,11.52,18.83,22.99,19.55,21.62,21.14
ROE(%),23.42,,12.44,23.23,25.05,17.73,19.22,16.96
ROA(%),19.99,,10.00,18.55,20.41,14.56,16.03,14.24
부채비율,11.80,19.49,28.73,22.48,26.05,23.36,21.59,19.86
자본유보율,439.20,513.62,589.51,766.65,"1,030.22",,,
EPS(원),442,408,403,885,"1,230","1,088","1,422","1,503"
PER(배),15.96,34.65,48.31,41.57,33.61,23.40,17.90,16.93
BPS(원),"2,664","3,042","3,398","4,263","5,615","6,730","8,165","9,682"
PBR(배),2.65,4.65,5.72,8.63,7.36,3.78,3.12,2.63
현금DPS(원),0,0,,,,0,0,0
현금배당수익률,0.00,0.00,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"12,041,343","12,041,343","12,275,111","12,275,111","12,275,111",,,
