주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,28,45,21,8,39
영업이익,-35,-41,-146,-176,-280
영업이익(발표기준),-35,-41,-146,-176,-280
세전계속사업이익,-35,-67,-196,-179,-297
당기순이익,-35,-67,-196,-172,-281
  당기순이익(지배),-35,-67,-196,-172,-281
  당기순이익(비지배),,,,,
자산총계,84,400,309,605,"1,298"
부채총계,28,42,36,221,548
자본총계,56,358,273,384,750
  자본총계(지배),56,358,273,384,750
  자본총계(비지배),,,,,
자본금,30,38,39,42,90
영업활동현금흐름,-5,-26,-116,-161,-227
투자활동현금흐름,-30,-339,89,-19,-85
재무활동현금흐름,69,341,30,454,719
CAPEX,3,7,6,12,46
FCF,-9,-33,-122,-173,-273
이자발생부채,,,2,211,446
영업이익률,-125.47,-90.92,-703.31,"-2,312.54",-724.36
순이익률,-126.96,-148.45,-947.58,"-2,264.83",-724.84
ROE(%),-95.94,,-62.27,-52.52,
ROA(%),-66.20,,-55.47,-37.75,
부채비율,50.10,11.64,13.10,57.62,73.11
자본유보율,74.90,804.69,510.38,716.88,626.87
EPS(원),-300,-518,"-1,264","-1,059","-1,623"
PER(배),,N/A,N/A,N/A,N/A
BPS(원),474,"2,353","1,744","2,282","4,155"
PBR(배),0.00,4.76,16.52,41.25,10.52
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,,0.00,0.00,
발행주식수(보통주),"7,397,468","15,225,214","15,640,214","16,370,214","17,333,799"
