주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,721,781,"1,043","1,585",765,"1,983"
영업이익,80,19,27,100,-140,75
영업이익(발표기준),80,19,27,100,-140,
세전계속사업이익,60,16,8,48,-120,68
당기순이익,49,16,20,58,-81,62
  당기순이익(지배),49,16,20,58,-81,
  당기순이익(비지배),,,,,,
자산총계,604,"1,026","1,421","1,409","1,783",
부채총계,269,635,"1,004",822,"1,264",
자본총계,334,391,416,587,519,
  자본총계(지배),334,391,416,587,519,
  자본총계(비지배),,,,,,
자본금,26,26,26,56,57,
영업활동현금흐름,-88,-51,-156,67,-132,
투자활동현금흐름,-25,-178,-20,-47,-27,
재무활동현금흐름,221,205,93,-25,176,
CAPEX,45,95,111,41,11,
FCF,-133,-146,-268,26,-143,
이자발생부채,89,224,330,239,425,
영업이익률,11.04,2.47,2.62,6.34,-18.33,3.78
순이익률,6.82,2.02,1.92,3.69,-10.55,3.13
ROE(%),22.23,4.36,,11.66,-14.60,
ROA(%),9.95,1.94,,4.13,-5.06,
부채비율,80.59,162.55,241.32,139.88,243.71,
자본유보율,"1,207.67","1,429.14","1,516.99",975.69,830.22,
EPS(원),564,156,197,554,-708,
PER(배),18.53,54.76,44.59,26.83,N/A,
BPS(원),"3,291","3,848","4,069","5,255","4,539",
PBR(배),3.18,2.21,2.16,2.83,3.78,
현금DPS(원),0,0,0,100,,
현금배당수익률,0.00,0.00,0.00,0.67,,
현금배당성향(%),0.00,0.00,0.00,19.11,,
발행주식수(보통주),"10,156,077","10,156,077","10,227,248","11,250,921","11,483,315",
