주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,402,269,318,494,503
영업이익,13,-12,-3,47,29
영업이익(발표기준),13,-12,-3,47,29
세전계속사업이익,9,-16,-11,36,18
당기순이익,8,-11,-5,34,18
  당기순이익(지배),8,-11,-5,34,18
  당기순이익(비지배),,,,,
자산총계,157,168,299,357,405
부채총계,138,139,297,311,241
자본총계,19,29,1,45,164
  자본총계(지배),19,29,1,45,164
  자본총계(비지배),,,,,
자본금,8,9,8,9,50
영업활동현금흐름,23,-41,-7,20,13
투자활동현금흐름,-13,-10,-61,-14,-18
재무활동현금흐름,1,35,85,-12,21
CAPEX,6,7,54,8,10
FCF,17,-48,-61,12,3
이자발생부채,79,90,227,213,145
영업이익률,3.31,-4.49,-0.93,9.59,5.84
순이익률,1.90,-4.02,-1.46,6.94,3.48
ROE(%),49.30,-44.95,,146.73,16.75
ROA(%),5.30,-6.65,,10.48,4.60
부채비율,715.59,482.54,"22,261.21",684.90,147.49
자본유보율,137.89,227.50,-84.02,420.14,230.17
EPS(원),112,-159,-67,484,193
PER(배),,,,,
BPS(원),283,423,19,615,"1,651"
PBR(배),0.00,0.00,0.00,0.00,0.00
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,804,000","6,804,000","7,029,120","7,342,902","9,911,664"
