주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,,217,641,"1,385","1,727","2,300","2,781","3,706"
영업이익,,45,99,80,108,225,318,441
영업이익(발표기준),,45,99,80,108,,,
세전계속사업이익,,45,93,74,76,208,304,433
당기순이익,,36,76,70,78,186,268,365
  당기순이익(지배),,36,76,70,77,185,268,363
  당기순이익(비지배),,,0,0,0,,,
자산총계,,76,416,783,"1,106","1,154","1,382","1,844"
부채총계,,37,273,154,424,312,316,447
자본총계,,39,142,629,682,842,"1,066","1,397"
  자본총계(지배),,39,142,629,681,840,"1,064","1,391"
  자본총계(비지배),,,0,0,2,,,
자본금,,1,1,95,148,124,124,148
영업활동현금흐름,,34,56,-139,131,106,207,240
투자활동현금흐름,,-14,-60,-88,-211,-120,-110,-133
재무활동현금흐름,,,139,234,88,-14,-42,-49
CAPEX,,2,21,31,21,60,65,50
FCF,,32,35,-170,109,36,132,186
이자발생부채,,0,177,46,197,,,
영업이익률,,20.94,15.46,5.81,6.28,9.79,11.45,11.90
순이익률,,16.47,11.90,5.05,4.50,8.07,9.65,9.85
ROE(%),,,84.04,18.14,11.79,24.33,28.14,29.57
ROA(%),,,31.05,11.67,8.21,16.42,21.18,22.63
부채비율,,93.25,191.83,24.55,62.13,37.00,29.69,32.00
자본유보율,,"3,830.43","13,388.11",560.62,380.89,,,
EPS(원),,168,331,268,266,626,906,"1,228"
PER(배),,,,26.68,36.53,14.31,9.88,7.29
BPS(원),,185,598,"2,220","2,326","2,872","3,636","4,753"
PBR(배),,0.00,0.00,3.22,4.17,3.12,2.46,1.88
현금DPS(원),0,0,0,73,100,155,190,100
현금배당수익률,,,,1.03,1.03,1.73,2.12,1.12
현금배당성향(%),,0.00,0.00,29.60,37.99,24.78,20.97,8.15
발행주식수(보통주),"21,278,536","21,278,536","21,278,536","28,565,637","29,572,416",,,
