주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,74,77,80,163,156
영업이익,-32,-13,-6,51,42
영업이익(발표기준),-32,-13,-6,51,42
세전계속사업이익,-70,-41,35,49,50
당기순이익,-70,-41,35,49,50
  당기순이익(지배),-70,-41,35,49,50
  당기순이익(비지배),,,,,
자산총계,279,241,218,272,319
부채총계,81,78,16,22,21
자본총계,198,163,202,251,298
  자본총계(지배),198,163,202,251,298
  자본총계(비지배),,,,,
자본금,160,160,161,161,161
영업활동현금흐름,-21,10,10,42,60
투자활동현금흐름,19,-17,-8,29,-51
재무활동현금흐름,-8,9,4,0,0
CAPEX,48,8,9,4,4
FCF,-69,2,1,38,57
이자발생부채,0,0,0,0,1
영업이익률,-43.28,-17.40,-7.65,31.65,26.70
순이익률,-94.11,-53.46,44.09,30.22,31.84
ROE(%),-34.00,-22.79,19.20,21.72,18.09
ROA(%),-22.85,-15.85,15.28,20.06,16.80
부채비율,40.61,47.68,7.83,8.62,6.92
자본유보율,21.65,-0.66,24.59,55.33,87.09
EPS(원),-221,-129,109,153,155
PER(배),N/A,N/A,21.49,28.14,24.55
BPS(원),621,509,629,780,929
PBR(배),13.65,8.93,3.73,5.52,4.09
현금DPS(원),0,0,,,
현금배당수익률,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"31,941,860","32,034,160","32,136,660","32,136,660","32,136,660"
