주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,186,183,203,176,486
영업이익,20,7,11,-51,26
영업이익(발표기준),20,7,11,-51,26
세전계속사업이익,10,5,-27,-49,-74
당기순이익,8,5,-27,-49,-77
  당기순이익(지배),8,5,-27,-46,-85
  당기순이익(비지배),,,,-3,9
자산총계,115,111,272,402,729
부채총계,118,87,150,306,574
자본총계,-3,25,122,96,154
  자본총계(지배),-3,25,122,89,80
  자본총계(비지배),,,,7,74
자본금,29,34,20,21,22
영업활동현금흐름,23,-16,-8,-49,-71
투자활동현금흐름,-5,-3,42,-122,-30
재무활동현금흐름,-4,6,32,127,148
CAPEX,1,5,53,68,77
FCF,22,-21,-61,-117,-148
이자발생부채,62,50,95,200,277
영업이익률,10.66,3.93,5.39,-29.28,5.27
순이익률,4.38,2.48,-13.44,-27.68,-15.78
ROE(%),-76.78,42.77,-37.29,,-101.08
ROA(%),7.78,4.00,-14.21,,-13.58
부채비율,"-3,580.14",354.72,123.61,318.69,372.68
자본유보율,-135.97,-46.47,479.61,280.65,243.89
EPS(원),49,26,-140,-222,-398
PER(배),,,N/A,N/A,N/A
BPS(원),-20,126,621,419,356
PBR(배),,,3.09,7.22,18.53
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"16,797,885","19,428,906","19,602,273","21,222,023","22,436,219"
