주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,120,217,198,298,299
영업이익,14,33,7,13,14
영업이익(발표기준),14,33,7,13,14
세전계속사업이익,14,43,10,14,18
당기순이익,11,36,10,14,18
  당기순이익(지배),11,36,10,14,18
  당기순이익(비지배),,,0,0,0
자산총계,250,323,472,492,513
부채총계,63,91,93,94,96
자본총계,187,232,379,398,417
  자본총계(지배),187,232,377,397,416
  자본총계(비지배),,,2,1,1
자본금,1,1,36,37,37
영업활동현금흐름,6,40,-10,18,19
투자활동현금흐름,-75,-59,-134,-21,-7
재무활동현금흐름,59,26,132,10,3
CAPEX,78,71,68,13,4
FCF,-71,-31,-78,5,15
이자발생부채,44,64,62,67,68
영업이익률,11.49,15.02,3.36,4.22,4.58
순이익률,9.44,16.38,5.19,4.58,6.00
ROE(%),6.83,17.00,,3.58,4.52
ROA(%),5.23,12.43,,2.84,3.57
부채비율,33.58,39.47,24.68,23.60,23.04
자본유보율,"13,871.51","17,038.55",936.53,982.10,"1,031.75"
EPS(원),267,821,164,190,251
PER(배),,,60.15,45.07,65.74
BPS(원),"4,390","4,090","5,197","5,422","5,674"
PBR(배),0.00,0.00,1.89,1.58,2.91
현금DPS(원),0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,200,000","5,659,500","7,256,000","7,315,995","7,327,995"
