주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,025","1,021","1,087","1,236","1,070"
영업이익,54,69,41,46,43
영업이익(발표기준),54,69,41,46,43
세전계속사업이익,34,66,43,43,44
당기순이익,27,51,32,28,28
  당기순이익(지배),27,51,32,28,28
  당기순이익(비지배),,,,,
자산총계,"1,239","1,234","1,394","1,697","1,941"
부채총계,257,222,200,128,125
자본총계,982,"1,012","1,194","1,569","1,817"
  자본총계(지배),982,"1,012","1,194","1,569","1,817"
  자본총계(비지배),,,,,
자본금,72,72,86,104,328
영업활동현금흐름,83,72,37,-2,201
투자활동현금흐름,5,3,-37,-263,-368
재무활동현금흐름,-34,-53,115,337,211
CAPEX,5,4,11,47,25
FCF,78,67,26,-49,176
이자발생부채,138,104,74,67,63
영업이익률,5.23,6.74,3.77,3.71,3.98
순이익률,2.60,4.97,2.94,2.27,2.66
ROE(%),2.69,5.09,2.90,2.03,1.68
ROA(%),2.11,4.11,2.43,1.82,1.56
부채비율,26.20,21.89,16.72,8.17,6.88
자본유보율,"1,352.65","1,394.76","1,355.75","1,464.79",449.88
EPS(원),62,117,74,52,43
PER(배),36.82,18.45,29.60,80.31,60.42
BPS(원),"2,319","2,391","2,342","2,542","2,768"
PBR(배),0.98,0.91,0.93,1.65,0.95
현금DPS(원),50,50,42,0,
현금배당수익률,2.20,2.31,1.91,0.00,
현금배당성향(%),76.10,39.96,64.20,0.00,
발행주식수(보통주),"43,232,874","43,232,874","51,879,447","62,605,953","65,633,553"
