주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,213","1,494","1,804","1,981","2,272"
영업이익,39,53,108,169,229
영업이익(발표기준),39,53,108,169,229
세전계속사업이익,40,52,104,176,235
당기순이익,37,48,86,142,191
  당기순이익(지배),37,48,86,142,191
  당기순이익(비지배),,,,,
자산총계,912,"1,015","1,114","1,153","1,419"
부채총계,231,316,356,287,405
자본총계,682,700,758,866,"1,014"
  자본총계(지배),682,700,758,866,"1,014"
  자본총계(비지배),,,,,
자본금,70,70,70,70,70
영업활동현금흐름,71,60,170,177,94
투자활동현금흐름,-33,-50,-66,-78,-80
재무활동현금흐름,-93,-6,17,-123,47
CAPEX,21,44,52,49,35
FCF,50,16,118,128,59
이자발생부채,44,67,112,24,119
영업이익률,3.24,3.55,5.98,8.52,10.06
순이익률,3.03,3.18,4.79,7.15,8.40
ROE(%),5.43,6.88,11.86,17.46,20.31
ROA(%),3.95,4.93,8.12,12.51,14.85
부채비율,33.86,45.12,46.94,33.14,39.97
자본유보율,876.03,901.95,984.82,"1,137.37","1,349.90"
EPS(원),184,237,432,709,954
PER(배),22.73,13.65,14.45,13.66,16.39
BPS(원),"3,411","3,502","3,795","4,333","5,073"
PBR(배),1.22,0.93,1.65,2.23,3.08
현금DPS(원),147,140,175,210,210
현금배당수익률,3.52,4.32,2.80,2.17,1.34
현금배당성향(%),79.98,58.87,40.44,29.59,21.98
발행주식수(보통주),"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000"
