주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,415,499,586,645,695
영업이익,16,26,26,18,17
영업이익(발표기준),16,26,26,18,17
세전계속사업이익,29,37,38,6,35
당기순이익,28,61,31,2,32
  당기순이익(지배),28,61,31,2,32
  당기순이익(비지배),,,,,
자산총계,"1,096","1,144","1,922","1,954","1,992"
부채총계,116,104,121,142,145
자본총계,979,"1,040","1,802","1,811","1,847"
  자본총계(지배),979,"1,040","1,802","1,811","1,847"
  자본총계(비지배),,,,,
자본금,544,544,694,694,694
영업활동현금흐름,19,9,28,29,56
투자활동현금흐름,-5,88,-706,-130,-85
재무활동현금흐름,2,,729,-5,-5
CAPEX,8,25,82,70,23
FCF,12,-17,-54,-40,34
이자발생부채,0,0,3,5,5
영업이익률,3.75,5.15,4.44,2.83,2.39
순이익률,6.83,12.16,5.21,0.33,4.56
ROE(%),2.94,6.01,2.15,0.12,1.73
ROA(%),2.65,5.42,1.99,0.11,1.60
부채비율,11.87,10.00,6.71,7.85,7.84
자본유보율,79.69,90.18,158.20,159.04,163.60
EPS(원),24,52,24,2,23
PER(배),245.56,77.95,175.07,"3,734.00",168.27
BPS(원),837,888,"1,297","1,304","1,330"
PBR(배),7.11,4.55,3.28,4.43,2.88
현금DPS(원),0,0,,,
현금배당수익률,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"117,062,582","117,062,582","138,892,244","138,892,244","138,892,244"
