주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,022","1,248","1,554","1,444","1,939","2,768","3,239","3,577"
영업이익,195,287,435,441,579,824,983,"1,138"
영업이익(발표기준),195,287,435,441,579,,,
세전계속사업이익,211,302,430,380,859,845,"1,018","1,183"
당기순이익,164,243,312,296,675,646,784,909
  당기순이익(지배),162,238,313,295,675,643,780,907
  당기순이익(비지배),2,4,-1,1,0,,,
자산총계,"1,244","1,593","2,078","2,240","3,174","3,742","4,518","5,420"
부채총계,387,314,455,377,668,739,846,937
자본총계,858,"1,280","1,624","1,862","2,506","3,003","3,672","4,483"
  자본총계(지배),849,"1,268","1,589","1,827","2,466","2,960","3,624","4,438"
  자본총계(비지배),9,,34,36,40,,,
자본금,173,179,179,179,179,180,180,179
영업활동현금흐름,271,226,509,221,458,662,778,834
투자활동현금흐름,-287,-139,-588,-203,-256,-221,-171,-140
재무활동현금흐름,25,105,10,-55,-65,-112,-109,-112
CAPEX,248,128,17,37,4,35,21,22
FCF,23,98,492,184,454,625,763,815
이자발생부채,0,0,22,39,33,,,
영업이익률,19.04,23.03,27.96,30.57,29.86,29.77,30.36,31.80
순이익률,16.01,19.45,20.09,20.52,34.81,23.34,24.20,25.40
ROE(%),21.38,22.52,21.91,17.29,31.43,23.72,23.70,22.50
ROA(%),15.52,17.11,17.00,13.73,24.94,18.68,18.98,18.29
부채비율,45.09,24.52,28.02,20.24,26.64,24.60,23.03,20.90
자본유보율,472.59,664.70,849.45,985.69,"1,333.25",,,
EPS(원),471,685,883,832,"1,900","1,813","2,198","2,556"
PER(배),29.21,44.16,27.36,46.15,26.68,30.18,24.88,21.40
BPS(원),"2,667","3,848","4,801","5,519","7,451","8,942","10,950","13,409"
PBR(배),5.16,7.86,5.03,6.96,6.80,6.12,5.00,4.08
현금DPS(원),0,122,155,154,369,336,373,409
현금배당수익률,0.00,0.40,0.64,0.40,0.73,0.62,0.68,0.75
현금배당성향(%),0.00,16.86,16.39,17.30,18.10,18.56,16.95,16.01
발행주식수(보통주),"34,622,921","35,355,216","35,494,992","35,497,492","35,497,492",,,
