주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,103,129,94,494,571,"1,092","1,819"
영업이익,17,-4,-18,181,221,475,692
영업이익(발표기준),17,-4,-18,181,221,,
세전계속사업이익,-5,-2,-25,142,230,475,692
당기순이익,-5,-2,-26,147,181,372,536
  당기순이익(지배),-5,-2,-26,147,181,370,540
  당기순이익(비지배),,,,,,,
자산총계,186,190,185,543,760,"1,115","1,820"
부채총계,267,157,170,84,104,120,290
자본총계,-81,33,14,459,656,995,"1,530"
  자본총계(지배),-81,33,14,459,656,995,"1,530"
  자본총계(비지배),,,,,,,
자본금,5,11,12,16,48,35,20
영업활동현금흐름,-19,3,-7,114,104,335,540
투자활동현금흐름,-2,-4,-1,-153,-105,-120,-230
재무활동현금흐름,6,18,,161,5,-25,20
CAPEX,3,3,0,25,41,40,70
FCF,-21,-1,-8,89,63,295,470
이자발생부채,192,123,133,9,8,,
영업이익률,16.78,-3.21,-18.73,36.60,38.64,43.50,38.04
순이익률,-4.73,-1.77,-27.65,29.75,31.65,34.07,29.47
ROE(%),,9.55,-108.77,62.17,32.42,44.81,42.77
ROA(%),,-1.22,-13.85,40.46,27.76,39.68,36.52
부채비율,-328.93,470.20,"1,183.82",18.24,15.77,12.06,18.95
자본유보율,"-1,573.28",202.06,29.89,"2,791.99","1,245.50",,
EPS(원),-104,-48,-360,"1,733","1,887","3,821","5,577"
PER(배),,,,32.57,31.90,17.66,12.10
BPS(원),"-1,728",464,196,"4,841","6,778","10,276","15,802"
PBR(배),0.00,0.00,0.00,11.66,8.88,6.57,4.27
현금DPS(원),0,0,0,0,500,250,0
현금배당수익률,,,,0.00,0.83,0.37,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,26.78,6.54,
발행주식수(보통주),"3,258,750","6,792,030","7,018,830","9,479,400","9,682,380",,
