주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,275,271,376,424,557
영업이익,49,36,72,106,184
영업이익(발표기준),49,36,72,106,184
세전계속사업이익,44,42,72,81,253
당기순이익,26,25,77,69,215
  당기순이익(지배),26,27,79,68,214
  당기순이익(비지배),,-2,-2,1,1
자산총계,444,413,485,570,854
부채총계,100,89,86,106,117
자본총계,345,325,400,464,737
  자본총계(지배),345,324,401,464,736
  자본총계(비지배),,,-1,0,1
자본금,98,98,98,98,98
영업활동현금흐름,66,17,79,124,168
투자활동현금흐름,-30,-4,-46,-71,93
재무활동현금흐름,-28,-2,-11,-32,-2
CAPEX,10,19,8,5,12
FCF,56,-1,71,119,155
이자발생부채,32,29,21,10,11
영업이익률,17.67,13.35,19.26,24.99,33.00
순이익률,9.56,9.34,20.59,16.36,38.59
ROE(%),8.55,,21.89,15.71,35.74
ROA(%),6.31,,17.25,13.15,30.18
부채비율,28.89,27.29,21.41,22.85,15.90
자본유보율,221.95,247.98,327.87,397.59,655.78
EPS(원),137,139,406,348,"1,097"
PER(배),34.23,21.31,8.47,15.31,11.12
BPS(원),"1,763","1,659","2,050","2,441","3,765"
PBR(배),2.65,1.79,1.68,2.18,3.24
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"19,543,877","19,543,877","19,543,877","19,543,877",
