주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,474,420,568,533,668
영업이익,5,-37,6,-37,-30
영업이익(발표기준),5,-37,6,-37,-30
세전계속사업이익,59,-20,-11,-199,277
당기순이익,56,-20,-11,-199,277
  당기순이익(지배),56,-20,-11,-199,277
  당기순이익(비지배),,,,,
자산총계,"1,130","2,044","2,261","2,555","3,704"
부채총계,88,150,165,648,"1,070"
자본총계,"1,042","1,894","2,096","1,906","2,635"
  자본총계(지배),"1,042","1,894","2,096","1,906","2,635"
  자본총계(비지배),,,,,
자본금,736,"1,204","1,437","1,437",167
영업활동현금흐름,33,-126,147,-53,-10
투자활동현금흐름,-201,-228,-875,-334,-450
재무활동현금흐름,214,947,246,422,699
CAPEX,4,0,9,3,14
FCF,29,-127,138,-57,-24
이자발생부채,20,80,83,494,926
영업이익률,0.97,-8.72,1.07,-6.88,-4.46
순이익률,11.91,-4.68,-1.88,-37.38,41.44
ROE(%),6.62,-1.34,-0.53,,12.19
ROA(%),5.50,-1.24,-0.50,,8.84
부채비율,8.46,7.92,7.87,33.99,40.59
자본유보율,47.12,62.31,49.84,36.37,"1,454.56"
EPS(원),171,-39,-17,-277,350
PER(배),19.37,N/A,N/A,N/A,4.41
BPS(원),"2,830","3,147","2,918","2,654","3,158"
PBR(배),1.17,0.85,0.75,0.74,0.49
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"36,813,686","60,203,296","71,831,203","71,831,203","83,463,623"
