주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,393,572,656,781,"1,104","1,273","1,453"
영업이익,94,132,134,107,153,180,214
영업이익(발표기준),94,132,134,107,153,,
세전계속사업이익,118,150,160,148,281,225,258
당기순이익,94,120,129,113,225,182,209
  당기순이익(지배),94,120,129,114,209,167,193
  당기순이익(비지배),,,,-1,15,,
자산총계,"1,003","1,139","1,692","2,087","2,863","2,476","2,642"
부채총계,600,588,586,864,"1,435",909,926
자본총계,403,551,"1,106","1,222","1,427","1,567","1,716"
  자본총계(지배),403,551,"1,106","1,154","1,343","1,473","1,621"
  자본총계(비지배),,,,68,84,,
자본금,21,42,46,46,47,47,47
영업활동현금흐름,415,119,117,296,524,164,195
투자활동현금흐름,168,-87,-555,42,-68,-88,-98
재무활동현금흐름,4,,398,-97,-20,-33,-44
CAPEX,8,10,14,39,5,64,73
FCF,407,109,103,257,519,94,116
이자발생부채,0,0,2,16,14,,
영업이익률,23.89,23.04,20.49,13.64,13.85,14.14,14.73
순이익률,23.79,20.98,19.65,14.44,20.37,14.30,14.38
ROE(%),26.66,25.15,15.54,,16.77,11.86,12.48
ROA(%),12.17,11.20,9.10,,9.08,6.82,8.17
부채비율,149.04,106.71,52.96,70.74,100.56,58.01,53.96
자본유보율,"1,897.40","1,208.24","2,418.53","2,593.58","3,040.54",,
EPS(원),"1,165","1,438","1,466","1,227","2,220","1,767","2,042"
PER(배),,,19.72,27.02,14.34,14.29,12.37
BPS(원),"4,830","6,609","12,344","13,347","15,144","16,798","18,486"
PBR(배),0.00,0.00,2.34,2.48,2.10,1.50,1.37
현금DPS(원),0,0,380,350,470,470,470
현금배당수익률,,,1.31,1.06,1.48,1.86,1.86
현금배당성향(%),0.00,0.00,26.44,26.62,19.90,26.60,23.02
발행주식수(보통주),"8,340,000","8,340,000","9,267,000","9,267,000","9,453,000",,
