주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"2,293","2,729","2,946","2,512","2,871","3,074","3,311","3,642"
영업이익,90,62,225,160,299,305,343,386
영업이익(발표기준),90,62,225,160,299,,,
세전계속사업이익,74,86,225,144,339,326,368,393
당기순이익,78,74,168,114,264,257,286,295
  당기순이익(지배),78,74,168,114,264,254,286,290
  당기순이익(비지배),,,,,,,,
자산총계,"2,591","2,858","2,959","2,888","3,002","3,417","3,701","3,870"
부채총계,727,942,863,701,560,773,807,700
자본총계,"1,864","1,916","2,096","2,186","2,442","2,645","2,894","3,170"
  자본총계(지배),"1,864","1,916","2,096","2,186","2,442","2,645","2,894","3,170"
  자본총계(비지배),,,,,,,,
자본금,62,62,62,62,62,61,61,60
영업활동현금흐름,194,109,436,364,471,400,412,370
투자활동현금흐름,-390,-348,-263,-140,-261,-161,-160,-220
재무활동현금흐름,162,226,-92,-118,-233,-6,-6,-20
CAPEX,455,353,259,111,94,152,154,180
FCF,-261,-244,178,253,378,265,289,190
이자발생부채,400,625,535,438,235,,,
영업이익률,3.93,2.26,7.63,6.36,10.42,9.93,10.36,10.60
순이익률,3.40,2.70,5.70,4.53,9.19,8.37,8.64,8.10
ROE(%),4.26,3.89,8.38,5.31,11.40,10.00,10.33,9.56
ROA(%),3.15,2.70,5.78,3.89,8.96,8.01,8.04,7.79
부채비율,39.00,49.15,41.18,32.08,22.95,29.21,27.89,22.08
자본유보율,"2,911.22","2,999.45","3,285.68","3,424.50","3,815.64",,,
EPS(원),628,594,"1,355",917,"2,128","2,052","2,308","2,339"
PER(배),47.91,38.57,17.23,20.93,10.22,10.48,9.31,9.19
BPS(원),"15,038","15,453","16,906","17,635","19,695","21,336","23,346","25,569"
PBR(배),2.00,1.48,1.38,1.09,1.10,1.01,0.92,0.84
현금DPS(원),0,0,160,190,190,192,195,220
현금배당수익률,0.00,0.00,0.69,0.99,0.87,0.90,0.91,1.02
현금배당성향(%),0.00,0.00,11.81,17.42,7.51,9.38,8.45,9.40
발행주식수(보통주),"12,398,000","12,398,000","12,398,000","12,398,000","12,398,000",,,
