주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,759,"1,057","1,117",821,685
영업이익,-64,-13,-11,23,-15
영업이익(발표기준),-64,-13,-11,23,-15
세전계속사업이익,-80,-53,14,16,-22
당기순이익,-94,-61,8,16,-9
  당기순이익(지배),-94,-60,8,16,-9
  당기순이익(비지배),0,-2,,,
자산총계,"1,236","1,243","1,256","1,228","1,115"
부채총계,393,459,457,411,199
자본총계,843,784,799,817,916
  자본총계(지배),842,784,799,817,916
  자본총계(비지배),2,,,,
자본금,229,229,229,230,246
영업활동현금흐름,-144,-118,73,167,-37
투자활동현금흐름,-132,48,9,-7,-35
재무활동현금흐름,24,143,-8,-11,-76
CAPEX,70,14,19,10,10
FCF,-214,-132,54,156,-47
이자발생부채,133,202,197,204,102
영업이익률,-8.40,-1.24,-0.95,2.79,-2.17
순이익률,-12.39,-5.79,0.75,1.96,-1.35
ROE(%),-10.59,-7.34,1.06,2.00,-1.07
ROA(%),-7.46,-4.94,0.67,1.30,-0.79
부채비율,46.63,58.54,57.17,50.31,21.78
자본유보율,269.44,244.51,249.90,255.87,274.13
EPS(원),-205,-130,18,35,-19
PER(배),N/A,N/A,110.86,55.57,N/A
BPS(원),"1,843","1,717","1,750","1,780","1,872"
PBR(배),1.34,1.46,1.16,1.09,1.82
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"45,854,719","45,854,719","45,854,719","46,073,059","49,129,824"
