주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,102,199,184,159,490,709,921
영업이익,10,31,0,-10,130,189,246
영업이익(발표기준),10,31,0,-10,130,,
세전계속사업이익,4,22,-17,-38,259,66,227
당기순이익,4,20,-17,-40,213,55,188
  당기순이익(지배),4,16,-15,-35,203,47,163
  당기순이익(비지배),,4,-3,-5,10,,
자산총계,169,225,250,291,"1,013","1,018","1,241"
부채총계,53,170,211,124,551,625,689
자본총계,116,55,38,167,462,393,552
  자본총계(지배),116,51,37,171,456,402,564
  자본총계(비지배),,,2,-4,7,,
자본금,23,20,20,28,29,29,29
영업활동현금흐름,23,84,49,41,162,173,228
투자활동현금흐름,-44,-64,-30,4,-137,-47,-47
재무활동현금흐름,-1,-6,-17,-19,350,-6,-6
CAPEX,4,2,4,4,35,0,0
FCF,19,82,45,37,127,173,228
이자발생부채,33,103,113,62,254,,
영업이익률,9.58,15.42,0.05,-6.50,26.53,26.66,26.71
순이익률,4.33,10.18,-9.50,-25.38,43.44,7.76,20.41
ROE(%),3.89,,-33.34,-33.65,64.68,10.96,33.75
ROA(%),2.65,,-7.35,-14.91,32.65,5.42,16.64
부채비율,45.93,310.34,551.77,74.03,119.27,159.03,124.82
자본유보율,392.91,159.54,84.91,576.81,"1,518.71",,
EPS(원),17,60,-55,-126,701,143,483
PER(배),,,,N/A,7.42,27.64,8.18
BPS(원),440,192,140,628,"1,610","1,228","1,723"
PBR(배),,,,2.40,3.23,3.22,2.29
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,,,
발행주식수(보통주),"22,363,037","22,363,037","22,363,037","28,407,439","29,397,849",,
