주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,650,615,535,529,652
영업이익,-46,-30,-60,46,85
영업이익(발표기준),-46,-30,-60,46,85
세전계속사업이익,123,29,3,254,257
당기순이익,94,-30,-3,187,215
  당기순이익(지배),97,-27,-1,187,215
  당기순이익(비지배),-3,-3,-1,0,0
자산총계,"2,426","2,386","2,265","2,449","2,672"
부채총계,212,229,171,224,243
자본총계,"2,214","2,157","2,094","2,225","2,428"
  자본총계(지배),"2,171","2,120","2,051","2,206","2,408"
  자본총계(비지배),43,,43,19,20
자본금,89,89,89,89,89
영업활동현금흐름,-24,-53,-52,151,58
투자활동현금흐름,153,-38,217,-5,-60
재무활동현금흐름,-2,-34,-80,-64,-34
CAPEX,8,112,11,1,9
FCF,-32,-165,-63,150,48
이자발생부채,17,16,25,17,12
영업이익률,-7.03,-4.87,-11.16,8.65,12.98
순이익률,14.45,-4.84,-0.48,35.25,33.04
ROE(%),4.76,-1.26,-0.06,8.79,9.34
ROA(%),4.12,-1.24,-0.11,7.92,8.42
부채비율,9.56,10.64,8.17,10.06,10.03
자본유보율,"2,135.38","2,289.74","2,247.95","2,443.00","2,655.12"
EPS(원),542,-152,-7,"1,047","1,206"
PER(배),10.48,N/A,N/A,5.37,7.57
BPS(원),"12,313","12,026","12,246","14,018","15,298"
PBR(배),0.46,0.34,0.27,0.40,0.60
현금DPS(원),170,260,100,160,260
현금배당수익률,2.99,6.40,3.08,2.85,2.85
현금배당성향(%),30.95,-169.41,"-1,308.74",13.47,18.99
발행주식수(보통주),"17,858,304","17,858,304","17,858,304","17,858,304","17,858,304"
