주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,364","2,017","1,943","2,668","2,893","3,168","3,490"
영업이익,115,180,-99,-23,64,133,210
영업이익(발표기준),115,180,-99,-23,64,,
세전계속사업이익,101,123,-149,-55,23,100,180
당기순이익,64,76,-177,-117,-53,50,100
  당기순이익(지배),63,76,-178,-121,-64,40,90
  당기순이익(비지배),1,0,0,4,11,,
자산총계,"1,994","2,755","2,862","3,050","3,105","3,280","3,440"
부채총계,"1,130","1,833","2,144","2,452","2,520","2,640","2,700"
자본총계,864,923,718,598,584,640,730
  자본총계(지배),849,909,704,578,554,600,680
  자본총계(비지배),15,,14,20,31,,
자본금,103,103,103,103,103,100,100
영업활동현금흐름,48,-67,-135,255,-82,160,200
투자활동현금흐름,-384,-358,-175,-62,-34,-80,-120
재무활동현금흐름,207,467,412,167,4,0,0
CAPEX,375,343,206,62,47,80,120
FCF,-327,-410,-341,193,-129,80,80
이자발생부채,758,"1,252","1,770","1,989","2,038",,
영업이익률,8.46,8.92,-5.10,-0.87,2.22,4.20,6.02
순이익률,4.67,3.79,-9.12,-4.38,-1.85,1.58,2.86
ROE(%),7.53,8.67,-22.01,-18.89,-11.30,6.93,14.06
ROA(%),3.33,3.22,-6.31,-3.96,-1.74,1.57,2.98
부채비율,130.81,198.66,298.56,409.90,431.47,412.50,369.86
자본유보율,737.75,812.10,614.62,498.12,432.07,,
EPS(원),304,369,-861,-587,-310,194,436
PER(배),72.05,44.41,N/A,N/A,N/A,31.10,13.82
BPS(원),"4,116","4,406","3,413","2,802","2,684","2,909","3,296"
PBR(배),5.32,3.72,1.92,3.04,2.15,2.07,1.83
현금DPS(원),0,111,,,,0,0
현금배당수익률,0.00,0.68,,,,0.00,0.00
현금배당성향(%),0.00,30.06,0.00,0.00,,,
발행주식수(보통주),"20,628,000","20,628,000","20,628,000","20,628,000","20,628,000",,
