주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,820,859,426,383,442
영업이익,-56,3,-172,-92,19
영업이익(발표기준),-56,3,-172,-92,19
세전계속사업이익,-74,25,-351,-129,54
당기순이익,-65,17,-359,-129,58
  당기순이익(지배),-62,20,-332,-124,58
  당기순이익(비지배),-2,-3,-28,-5,
자산총계,932,938,563,330,415
부채총계,449,436,355,159,129
자본총계,483,502,208,171,286
  자본총계(지배),461,483,208,171,286
  자본총계(비지배),22,,,0,
자본금,76,77,87,91,131
영업활동현금흐름,-37,-102,70,-45,-45
투자활동현금흐름,-7,-8,-147,233,-8
재무활동현금흐름,30,167,-83,-135,31
CAPEX,12,1,60,4,5
FCF,-49,-102,10,-49,-50
이자발생부채,110,244,186,56,41
영업이익률,-6.81,0.40,-40.37,-24.06,4.34
순이익률,-7.87,1.99,-84.49,-33.58,13.12
ROE(%),-12.58,4.19,-96.05,-65.28,25.31
ROA(%),-7.57,1.83,-47.88,-28.84,15.55
부채비율,92.91,86.93,170.38,92.84,45.27
자본유보율,488.58,524.88,110.17,91.57,121.30
EPS(원),-407,130,"-2,101",-685,285
PER(배),N/A,21.15,N/A,N/A,8.76
BPS(원),"3,023","3,142","1,194",942,"1,095"
PBR(배),0.82,0.87,3.19,2.65,2.28
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"15,253,030","15,366,896","17,443,674","18,154,911","26,123,038"
