주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,308","1,350","1,567",921,"2,064","3,308","3,694","3,150"
영업이익,28,29,22,-259,218,458,606,513
영업이익(발표기준),28,29,22,-259,218,,,
세전계속사업이익,23,4,15,-286,214,450,592,495
당기순이익,31,6,4,-290,186,381,469,409
  당기순이익(지배),32,4,10,-278,186,380,467,408
  당기순이익(비지배),-1,1,-6,-12,1,,,
자산총계,"1,029","1,281","1,365","1,429","2,168","2,330","2,885","3,042"
부채총계,490,482,548,689,"1,242","1,022","1,108","1,021"
자본총계,539,799,817,740,926,"1,308","1,776","2,021"
  자본총계(지배),522,793,816,740,924,"1,304","1,772","2,017"
  자본총계(비지배),18,,1,1,2,,,
자본금,25,59,60,64,64,64,64,64
영업활동현금흐름,-18,-33,129,111,0,624,597,634
투자활동현금흐름,-35,44,-134,-399,-79,-30,-168,-91
재무활동현금흐름,-8,142,146,359,306,-32,-56,-100
CAPEX,8,19,79,83,41,86,96,108
FCF,-26,-52,50,28,-41,484,433,367
이자발생부채,160,110,287,454,645,,,
영업이익률,2.16,2.13,1.43,-28.12,10.58,13.83,16.39,16.29
순이익률,2.40,0.43,0.27,-31.53,9.03,11.52,12.70,12.98
ROE(%),6.43,0.66,1.29,-35.73,22.30,34.05,30.36,21.54
ROA(%),3.02,0.50,0.32,-20.78,10.36,16.94,17.99,13.80
부채비율,90.83,60.23,67.13,93.01,134.09,78.10,62.40,50.52
자본유보율,"1,916.09","1,172.43","1,190.65",983.39,"1,263.58",,,
EPS(원),292,38,86,"-2,294","1,440","2,844","3,462","3,025"
PER(배),,292.50,339.19,N/A,23.05,12.29,10.10,11.55
BPS(원),"4,715","6,657","6,742","5,742","7,176","9,672","13,134","14,955"
PBR(배),,1.69,4.32,5.48,4.63,3.61,2.66,2.34
현금DPS(원),25,0,0,0,0,0,0,0
현금배당수익률,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),7.88,0.00,0.00,0.00,,,,
발행주식수(보통주),"10,233,611","11,906,949","12,109,069","12,882,020","12,882,020",,,
