주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,536,665,744,712,855,"1,050","1,190"
영업이익,18,59,98,25,84,136,173
영업이익(발표기준),18,59,98,25,84,,
세전계속사업이익,4,65,97,-4,98,139,177
당기순이익,5,56,85,-1,90,109,138
  당기순이익(지배),5,56,85,-1,90,119,135
  당기순이익(비지배),,,,,,,
자산총계,995,"1,093","1,237","1,465","1,534","1,647","1,761"
부채총계,224,245,308,551,545,565,558
자본총계,771,847,929,914,989,"1,082","1,203"
  자본총계(지배),771,847,929,914,989,"1,092","1,210"
  자본총계(비지배),,,,,,,
자본금,39,41,42,42,42,42,42
영업활동현금흐름,31,59,29,65,97,74,127
투자활동현금흐름,-33,-103,-61,-141,-134,-77,-74
재무활동현금흐름,14,-11,50,228,-69,-64,-75
CAPEX,21,82,38,102,81,60,60
FCF,10,-24,-8,-38,16,-16,42
이자발생부채,94,73,122,315,279,,
영업이익률,3.35,8.84,13.23,3.52,9.77,12.95,14.54
순이익률,0.91,8.42,11.43,-0.17,10.52,10.38,11.60
ROE(%),0.63,6.92,9.57,,9.46,11.43,11.73
ROA(%),0.49,5.36,7.29,,6.00,6.85,8.10
부채비율,29.03,28.97,33.18,60.35,55.07,52.22,46.38
자본유보율,"1,858.62","1,947.60","2,099.09","2,061.21","2,236.47",,
EPS(원),62,685,"1,027",-14,"1,065","1,403","1,590"
PER(배),77.80,13.71,9.34,N/A,10.19,8.19,7.23
BPS(원),"9,820","10,291","10,995","10,814","11,709","12,859","14,249"
PBR(배),0.49,0.91,0.87,1.37,0.93,0.89,0.81
현금DPS(원),100,150,200,150,200,200,200
현금배당수익률,2.08,1.60,2.08,1.01,1.84,1.74,1.74
현금배당성향(%),161.75,22.05,19.89,"-1,050.74",18.78,14.27,12.58
발행주식수(보통주),"7,855,554","8,232,912","8,449,912","8,449,912","8,449,912",,
