주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,463,464,488,627,832,"1,104"
영업이익,30,51,51,59,51,96
영업이익(발표기준),30,51,51,59,51,
세전계속사업이익,21,33,34,-29,-58,
당기순이익,18,23,25,-21,-47,
  당기순이익(지배),18,22,25,-19,-40,
  당기순이익(비지배),,1,0,-2,-7,
자산총계,420,637,723,891,"1,017",
부채총계,178,397,349,551,408,
자본총계,242,240,374,340,608,
  자본총계(지배),242,231,365,333,604,
  자본총계(비지배),,,9,7,4,
자본금,20,17,24,48,59,
영업활동현금흐름,17,-32,-21,26,-10,
투자활동현금흐름,-37,-60,-8,-72,-25,
재무활동현금흐름,5,77,68,104,152,
CAPEX,17,32,14,51,24,
FCF,0,-64,-35,-24,-33,
이자발생부채,146,326,298,379,319,
영업이익률,6.41,11.02,10.40,9.47,6.12,8.70
순이익률,3.79,4.90,5.19,-3.41,-5.70,
ROE(%),7.56,,8.37,-5.53,-8.63,
ROA(%),4.36,,3.72,-2.65,-4.97,
부채비율,73.31,165.54,93.42,161.83,67.18,
자본유보율,"1,011.47","1,134.86","1,346.02",600.39,923.36,
EPS(원),281,340,314,-201,-394,
PER(배),12.84,12.46,18.00,N/A,N/A,
BPS(원),"3,885","3,532","3,815","3,494","5,128",
PBR(배),0.93,1.20,1.48,3.66,3.07,
현금DPS(원),0,0,0,0,,
현금배당수익률,0.00,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"5,119,651","5,582,128","9,568,072","9,607,742","10,820,188",
