주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,389,327,318,441,386
영업이익,6,-29,-25,7,-32
영업이익(발표기준),6,-29,-25,7,-32
세전계속사업이익,12,-34,-24,7,-41
당기순이익,13,-32,-30,7,-41
  당기순이익(지배),13,-32,-28,7,-41
  당기순이익(비지배),0,0,-1,0,0
자산총계,393,341,326,345,286
부채총계,58,37,53,66,45
자본총계,335,303,273,279,242
  자본총계(지배),334,303,274,280,243
  자본총계(비지배),1,,-1,-1,-1
자본금,60,60,60,60,60
영업활동현금흐름,0,-16,-7,44,-34
투자활동현금흐름,21,-3,2,0,-3
재무활동현금흐름,1,2,-3,-4,-5
CAPEX,10,5,7,10,6
FCF,-10,-20,-15,34,-40
이자발생부채,0,2,9,9,6
영업이익률,1.49,-8.82,-7.76,1.54,-8.39
순이익률,3.42,-9.80,-9.29,1.64,-10.51
ROE(%),4.05,-10.13,-9.87,2.65,-15.68
ROA(%),3.44,-8.73,-8.87,2.15,-12.87
부채비율,17.18,12.26,19.28,23.58,18.50
자본유보율,527.07,475.10,427.24,439.60,371.10
EPS(원),110,-270,-238,61,-342
PER(배),18.83,N/A,N/A,65.20,N/A
BPS(원),"3,021","2,739","2,477","2,534","2,193"
PBR(배),0.69,0.81,1.00,1.58,1.29
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"11,968,040","11,968,040","11,968,040","11,968,040","11,968,040"
