주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"3,044","2,895","3,705","3,444","3,223"
영업이익,-44,-320,-364,13,51
영업이익(발표기준),-44,-320,-364,13,51
세전계속사업이익,-66,-288,-366,"-1,179",76
당기순이익,-60,-327,-403,-937,71
  당기순이익(지배),-60,-327,-403,-937,71
  당기순이익(비지배),,,,,
자산총계,"10,016","10,307","9,849","8,008","7,720"
부채총계,"3,729","4,277","4,235","3,338","2,964"
자본총계,"6,287","6,030","5,614","4,670","4,756"
  자본총계(지배),"6,287","6,030","5,614","4,670","4,756"
  자본총계(비지배),,,,,
자본금,100,100,100,100,100
영업활동현금흐름,11,-662,-26,404,278
투자활동현금흐름,-795,124,139,391,-66
재무활동현금흐름,546,264,-27,-505,-448
CAPEX,357,136,177,88,37
FCF,-346,-798,-203,316,242
이자발생부채,"2,614","2,879","2,851","2,348","1,900"
영업이익률,-1.43,-11.06,-9.82,0.38,1.57
순이익률,-1.96,-11.28,-10.87,-27.19,2.22
ROE(%),-0.94,-5.30,-6.92,-18.21,1.52
ROA(%),-0.60,-3.21,-4.00,-10.49,0.91
부채비율,59.30,70.93,75.44,71.46,62.33
자본유보율,"5,526.84","5,209.40","4,861.48","3,929.35","4,024.03"
EPS(원),-298,"-1,633","-2,012","-4,681",357
PER(배),N/A,N/A,N/A,N/A,35.00
BPS(원),"31,426","30,137","28,059","23,342","23,769"
PBR(배),0.62,0.35,0.32,0.67,0.53
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"20,007,381","20,007,381","20,007,381","20,007,381","20,007,381"
