주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,156,205,361,406,629
영업이익,-38,-58,14,10,5
영업이익(발표기준),-38,-58,14,10,5
세전계속사업이익,-56,-57,-1,-925,-128
당기순이익,-54,-71,5,-748,-132
  당기순이익(지배),-54,-71,5,-748,-132
  당기순이익(비지배),,,,,
자산총계,398,364,458,"1,114","1,276"
부채총계,230,194,279,668,492
자본총계,168,170,179,446,784
  자본총계(지배),168,170,179,446,784
  자본총계(비지배),,,,,
자본금,62,69,69,105,130
영업활동현금흐름,-8,-18,14,-4,-13
투자활동현금흐름,12,3,-69,-561,-158
재무활동현금흐름,11,-9,53,679,96
CAPEX,22,11,14,25,492
FCF,-30,-29,0,-29,-506
이자발생부채,150,77,132,403,330
영업이익률,-24.49,-28.37,3.99,2.58,0.77
순이익률,-35.01,-34.37,1.31,-184.47,-21.04
ROE(%),-30.51,,2.71,-241.49,-21.50
ROA(%),-13.44,,1.15,-94.85,-11.06
부채비율,137.16,114.27,156.08,149.70,62.83
자본유보율,157.74,127.82,139.37,312.16,471.49
EPS(원),-455,-521,34,"-4,743",-573
PER(배),N/A,N/A,159.09,N/A,N/A
BPS(원),"1,345","1,228","1,293","2,126","3,004"
PBR(배),4.77,3.44,4.20,8.04,4.49
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,493,171","13,848,373","13,848,373","20,991,454","26,098,182"
