주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,401,420,348,177,170
영업이익,-13,-55,-35,10,11
영업이익(발표기준),-13,-55,-35,10,11
세전계속사업이익,-41,-99,-89,35,19
당기순이익,-46,-103,-112,35,36
  당기순이익(지배),-43,-100,-112,35,36
  당기순이익(비지배),-3,-3,0,,
자산총계,678,547,660,663,736
부채총계,357,253,103,73,110
자본총계,322,294,556,590,626
  자본총계(지배),319,294,556,590,626
  자본총계(비지배),2,,,,
자본금,37,45,97,97,97
영업활동현금흐름,8,-130,32,70,23
투자활동현금흐름,-209,-16,38,89,-68
재무활동현금흐름,170,27,228,-14,-3
CAPEX,14,2,8,3,6
FCF,-6,-131,24,67,17
이자발생부채,148,122,32,10,8
영업이익률,-3.31,-13.13,-10.10,5.86,6.71
순이익률,-11.53,-24.44,-32.35,19.61,21.00
ROE(%),-12.77,-32.64,-26.36,6.05,5.88
ROA(%),-7.74,-16.77,-18.63,5.24,5.12
부채비율,110.88,86.17,18.52,12.35,17.52
자본유보율,743.81,545.77,471.67,507.68,545.60
EPS(원),-582,"-1,320",-705,179,184
PER(배),N/A,N/A,N/A,16.85,19.93
BPS(원),"4,280","3,301","2,868","3,043","3,228"
PBR(배),1.38,2.16,0.71,0.99,1.14
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,463,009","8,907,981","19,400,000","19,400,000","19,408,000"
