주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,310,305,251,375,845
영업이익,11,7,-33,-36,53
영업이익(발표기준),11,7,-33,-36,53
세전계속사업이익,15,4,-36,-41,-13
당기순이익,16,4,-35,-44,-13
  당기순이익(지배),16,4,-35,-44,-13
  당기순이익(비지배),,,,,
자산총계,905,886,839,995,"1,404"
부채총계,312,290,228,375,596
자본총계,593,596,610,620,808
  자본총계(지배),593,596,610,620,808
  자본총계(비지배),,,,,
자본금,130,130,147,147,182
영업활동현금흐름,-7,47,-18,-50,-113
투자활동현금흐름,12,-25,26,-32,-134
재무활동현금흐름,-48,-29,-9,188,210
CAPEX,4,1,1,6,32
FCF,-11,46,-20,-55,-145
이자발생부채,217,188,127,266,393
영업이익률,3.60,2.38,-13.24,-9.66,6.23
순이익률,5.30,1.17,-14.01,-11.68,-1.54
ROE(%),2.81,0.60,-5.83,-7.12,-1.82
ROA(%),1.77,0.40,-4.08,-4.78,-1.08
부채비율,52.59,48.60,37.38,60.41,73.75
자본유보율,354.55,357.16,313.10,319.79,344.53
EPS(원),63,14,-122,-149,-38
PER(배),17.34,98.33,N/A,N/A,N/A
BPS(원),"2,278","2,291","2,070","2,103","2,223"
PBR(배),0.48,0.59,1.08,1.17,1.11
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"26,032,185","26,032,185","29,492,393","29,492,393","36,353,554"
