주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,253,392,555,263,430,835,"1,075"
영업이익,-219,21,-54,2,-6,74,118
영업이익(발표기준),-219,21,-54,2,-6,,
세전계속사업이익,-411,37,-53,3,-3,77,123
당기순이익,-342,28,-77,-30,-4,62,98
  당기순이익(지배),-342,28,-77,-30,-9,62,98
  당기순이익(비지배),0,0,0,0,5,,
자산총계,895,808,665,686,947,"1,110","1,250"
부채총계,487,176,112,113,324,430,470
자본총계,409,632,553,573,623,690,780
  자본총계(지배),408,632,553,572,585,650,750
  자본총계(비지배),0,,1,0,38,,
자본금,112,123,123,127,127,130,130
영업활동현금흐름,-138,119,-13,166,-15,50,100
투자활동현금흐름,-99,40,17,-130,-44,-60,-30
재무활동현금흐름,284,-100,-134,34,45,10,0
CAPEX,21,15,33,9,75,10,20
FCF,-159,104,-47,157,-90,50,80
이자발생부채,243,127,46,23,170,,
영업이익률,-86.32,5.27,-9.66,0.77,-1.32,8.86,10.98
순이익률,-134.92,7.19,-13.89,-11.56,-1.04,7.42,9.12
ROE(%),-57.46,5.40,-13.02,-5.40,-1.63,10.04,14.00
ROA(%),-39.02,3.31,-10.46,-4.50,-0.55,6.03,8.30
부채비율,119.02,27.82,20.23,19.68,51.99,62.32,60.26
자본유보율,295.43,444.10,379.59,381.93,381.30,,
EPS(원),"-1,552",119,-313,-120,-37,244,386
PER(배),N/A,39.92,N/A,N/A,N/A,60.65,38.37
BPS(원),"1,859","2,607","2,279","2,294","2,329","2,584","2,982"
PBR(배),5.36,1.82,3.38,2.51,12.71,5.73,4.96
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"22,369,349","24,637,529","24,657,529","25,348,136","25,400,836",,
