주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,200,235,298,288,348
영업이익,13,17,30,27,20
영업이익(발표기준),13,17,30,27,20
세전계속사업이익,9,18,31,25,2
당기순이익,6,15,23,21,-4
  당기순이익(지배),6,15,23,21,-4
  당기순이익(비지배),,,,,
자산총계,121,137,199,214,322
부채총계,66,68,107,58,51
자본총계,55,70,92,157,271
  자본총계(지배),55,70,92,157,271
  자본총계(비지배),,,,,
자본금,4,4,4,4,27
영업활동현금흐름,21,34,40,28,5
투자활동현금흐름,1,-25,8,-54,53
재무활동현금흐름,-26,-5,3,-11,-8
CAPEX,1,6,4,2,6
FCF,20,28,37,26,-1
이자발생부채,20,16,20,6,14
영업이익률,6.47,7.23,10.01,9.21,5.77
순이익률,3.10,6.23,7.60,7.20,-1.03
ROE(%),9.70,23.53,27.95,,-1.68
ROA(%),5.21,11.35,13.44,,-1.34
부채비율,119.89,97.52,115.68,36.69,18.82
자본유보율,"1,191.66","1,536.28","2,067.98","3,548.37",903.89
EPS(원),24,56,87,80,-13
PER(배),,,,,N/A
BPS(원),212,268,355,582,"1,005"
PBR(배),,,,,3.08
현금DPS(원),0,0,0,0,20
현금배당수익률,,,0.00,0.00,0.65
현금배당성향(%),0.00,0.00,0.00,0.00,-150.39
발행주식수(보통주),"25,939,075","25,939,075","25,939,075","26,932,084","26,932,084"
