주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,350,390,446,525,526
영업이익,14,16,2,0,-18
영업이익(발표기준),14,16,2,0,-18
세전계속사업이익,44,31,-215,-51,-56
당기순이익,43,25,-218,-51,-50
  당기순이익(지배),43,25,-218,-51,-50
  당기순이익(비지배),,,,,
자산총계,330,340,812,412,388
부채총계,71,56,749,287,192
자본총계,258,284,64,125,196
  자본총계(지배),258,284,64,125,196
  자본총계(비지배),,,,,
자본금,88,88,88,140,163
영업활동현금흐름,21,24,2,-8,12
투자활동현금흐름,83,-20,-743,-56,68
재무활동현금흐름,,,663,69,-56
CAPEX,0,0,4,3,11
FCF,21,24,-2,-11,1
이자발생부채,0,0,639,179,97
영업이익률,4.05,4.19,0.44,0.06,-3.43
순이익률,12.23,6.42,-48.96,-9.65,-9.51
ROE(%),18.05,9.24,,-53.74,-31.20
ROA(%),14.34,7.48,,-8.28,-12.51
부채비율,27.47,19.89,"1,173.68",229.85,98.17
자본유보율,193.74,222.18,-27.51,-10.63,20.21
EPS(원),243,142,"-1,240",-249,-167
PER(배),19.53,41.77,N/A,N/A,N/A
BPS(원),"1,469","1,611",362,447,601
PBR(배),3.23,3.69,12.04,2.70,3.88
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"17,600,341","17,600,341","17,600,341","27,922,908","32,587,795"
