주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,293,333,395,305,395
영업이익,12,32,34,25,42
영업이익(발표기준),12,32,34,25,42
세전계속사업이익,15,34,36,26,35
당기순이익,12,27,28,21,27
  당기순이익(지배),12,27,28,21,27
  당기순이익(비지배),,,,,
자산총계,285,311,355,313,329
부채총계,103,117,148,103,123
자본총계,182,194,207,210,206
  자본총계(지배),182,194,207,210,206
  자본총계(비지배),,,,,
자본금,60,60,60,60,60
영업활동현금흐름,9,65,9,30,14
투자활동현금흐름,-24,-22,-12,56,-83
재무활동현금흐름,-8,-11,-26,-28,-5
CAPEX,24,2,1,1,38
FCF,-15,63,8,29,-24
이자발생부채,0,0,1,3,25
영업이익률,4.03,9.50,8.69,8.06,10.53
순이익률,4.18,8.03,7.16,6.78,6.78
ROE(%),6.83,14.21,14.10,9.93,12.90
ROA(%),4.38,8.97,8.49,6.19,8.35
부채비율,56.66,60.26,71.68,49.16,59.98
자본유보율,204.06,231.74,236.53,250.14,252.99
EPS(원),102,223,236,172,223
PER(배),41.68,19.09,19.09,36.42,30.87
BPS(원),"1,517","1,619","1,724","1,749","1,715"
PBR(배),2.81,2.63,2.61,3.59,4.02
현금DPS(원),90,200,220,220,220
현금배당수익률,2.11,4.70,4.89,3.50,3.19
현금배당성향(%),88.06,89.74,93.32,127.59,98.44
발행주식수(보통주),"12,000,000","12,000,000","12,000,000","12,000,000","12,000,000"
