주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,133,178,214,210,307
영업이익,10,24,35,36,41
영업이익(발표기준),10,24,35,36,41
세전계속사업이익,7,21,34,31,51
당기순이익,7,20,29,47,30
  당기순이익(지배),7,20,29,47,34
  당기순이익(비지배),,,,,-3
자산총계,150,189,241,453,720
부채총계,56,76,98,146,372
자본총계,93,113,143,308,349
  자본총계(지배),93,113,143,308,348
  자본총계(비지배),,,,,1
자본금,29,29,29,39,39
영업활동현금흐름,0,16,10,24,21
투자활동현금흐름,-10,-6,-16,-103,-199
재무활동현금흐름,-2,6,13,171,184
CAPEX,13,8,15,57,21
FCF,-13,8,-5,-33,0
이자발생부채,39,45,59,112,311
영업이익률,7.54,13.70,16.43,17.05,13.20
순이익률,5.34,11.43,13.71,22.22,9.93
ROE(%),7.93,19.71,22.96,20.74,
ROA(%),4.88,12.00,13.67,13.47,
부채비율,60.50,67.33,68.38,47.35,106.63
자본유보율,217.35,281.93,383.23,686.11,803.90
EPS(원),56,160,231,324,197
PER(배),,,,18.34,30.07
BPS(원),734,886,"1,121","1,801","2,038"
PBR(배),0.00,0.00,0.00,3.30,2.90
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,720,508","12,720,508","12,753,378","17,080,235","17,125,156"
