주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,99,114,211,211,255
영업이익,11,18,28,47,51
영업이익(발표기준),11,18,28,47,51
세전계속사업이익,22,18,25,51,62
당기순이익,22,16,24,48,55
  당기순이익(지배),22,16,29,48,55
  당기순이익(비지배),,,-5,,
자산총계,192,495,542,618,951
부채총계,46,182,200,124,445
자본총계,147,313,342,494,506
  자본총계(지배),147,313,337,494,506
  자본총계(비지배),,,4,,0
자본금,35,55,55,60,60
영업활동현금흐름,15,20,43,63,66
투자활동현금흐름,-41,-98,-44,35,-355
재무활동현금흐름,24,90,10,36,254
CAPEX,56,78,1,2,19
FCF,-41,-58,41,61,47
이자발생부채,27,131,134,66,361
영업이익률,11.59,15.69,13.07,22.15,20.02
순이익률,22.17,14.14,11.42,22.89,21.43
ROE(%),16.11,7.03,,11.52,
ROA(%),12.93,4.71,,8.30,
부채비율,31.09,58.08,58.66,25.11,87.85
자본유보율,320.80,549.22,576.46,723.23,796.23
EPS(원),314,211,262,436,453
PER(배),9.87,16.01,13.33,20.56,22.64
BPS(원),"2,110","3,140","3,256","4,087","4,299"
PBR(배),1.47,1.08,1.07,2.19,2.38
현금DPS(원),50,50,70,100,130
현금배당수익률,1.61,1.48,2.00,1.12,1.27
현금배당성향(%),15.87,30.84,25.14,25.06,27.97
발행주식수(보통주),"6,965,000","11,015,420","11,000,000","12,080,000","12,080,000"
