주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,425,436,430,430,546
영업이익,8,3,-12,-24,11
영업이익(발표기준),8,3,-12,-24,11
세전계속사업이익,7,3,-12,-26,12
당기순이익,5,3,-10,-32,12
  당기순이익(지배),5,3,-10,-32,12
  당기순이익(비지배),,,,,
자산총계,388,362,361,362,424
부채총계,99,71,80,114,165
자본총계,290,291,281,249,260
  자본총계(지배),290,291,281,249,260
  자본총계(비지배),,,,,
자본금,32,32,32,32,32
영업활동현금흐름,25,8,5,-2,-29
투자활동현금흐름,-5,-4,-6,-5,-47
재무활동현금흐름,-26,-12,-1,34,37
CAPEX,6,5,4,6,50
FCF,19,3,1,-8,-80
이자발생부채,49,39,41,76,116
영업이익률,1.79,0.68,-2.81,-5.63,2.04
순이익률,1.28,0.61,-2.28,-7.41,2.12
ROE(%),1.89,0.92,-3.42,-12.03,4.55
ROA(%),1.37,0.71,-2.71,-8.80,2.94
부채비율,34.01,24.38,28.66,45.73,63.36
자본유보율,804.85,809.83,776.71,676.29,710.72
EPS(원),85,42,-153,-497,181
PER(배),38.57,86.24,N/A,N/A,26.86
BPS(원),"4,524","4,549","4,384","3,881","4,054"
PBR(배),0.72,0.79,0.85,0.96,1.20
현금DPS(원),0,25,,,
현금배당수익률,0.00,0.70,,,
현금배당성향(%),0.00,60.06,0.00,0.00,
발행주식수(보통주),"6,405,405","6,405,405","6,405,405","6,405,405","6,405,405"
