주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,620,383,215,193,296
영업이익,88,16,8,4,-4
영업이익(발표기준),88,16,8,4,-4
세전계속사업이익,65,-26,2,-14,-35
당기순이익,54,-28,4,-6,-27
  당기순이익(지배),54,-28,4,-6,-30
  당기순이익(비지배),,,,0,3
자산총계,366,255,387,485,898
부채총계,241,88,195,114,468
자본총계,125,167,192,371,430
  자본총계(지배),125,167,192,367,409
  자본총계(비지배),,,,4,20
자본금,11,38,40,54,58
영업활동현금흐름,92,9,-9,-82,73
투자활동현금흐름,0,70,-85,21,-336
재무활동현금흐름,-81,-80,138,16,288
CAPEX,3,6,2,1,170
FCF,89,3,-11,-83,-96
이자발생부채,88,40,140,53,279
영업이익률,14.26,4.14,3.84,2.10,-1.29
순이익률,8.78,-7.28,1.63,-3.09,-9.28
ROE(%),52.08,-19.13,1.95,,-7.79
ROA(%),17.83,-8.99,1.09,,-3.97
부채비율,192.87,52.95,101.27,30.78,108.84
자본유보율,"1,373.87",470.85,498.91,671.00,670.42
EPS(원),142,-73,9,-14,-54
PER(배),,N/A,150.27,N/A,N/A
BPS(원),327,450,495,697,710
PBR(배),,4.16,2.69,2.60,2.67
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"35,831,149","38,201,008","40,020,544","53,805,540","57,688,616"
