주요재무정보,"2019/09
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,0,0,0,0
영업이익,0,0,0,0
영업이익(발표기준),0,0,0,0
세전계속사업이익,0,0,0,0
당기순이익,0,0,0,0
  당기순이익(지배),0,0,0,0
  당기순이익(비지배),0,0,0,0
자산총계,20,98,99,99
부채총계,16,15,16,16
자본총계,4,83,83,83
  자본총계(지배),4,83,83,83
  자본총계(비지배),,,,
자본금,0,4,4,4
영업활동현금흐름,0,0,0,0
투자활동현금흐름,0,-80,-1,0
재무활동현금흐름,20,98,0,0
CAPEX,,,,
FCF,,,,
이자발생부채,15,15,16,16
영업이익률,,,,
순이익률,,,,
ROE(%),,-0.68,0.28,-0.17
ROA(%),,-0.50,0.24,-0.14
부채비율,350.27,18.69,19.08,19.58
자본유보율,"1,332.80","1,821.06","1,826.50","1,823.31"
EPS(원),-111,-17,5,-3
PER(배),,N/A,377.00,N/A
BPS(원),"1,433","1,921","1,926","1,923"
PBR(배),0.00,1.05,1.06,1.07
현금DPS(원),0,0,0,0
현금배당수익률,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,
발행주식수(보통주),,"4,310,000","4,310,000","4,310,000"
