주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,141,306,319,207,465,752,885
영업이익,20,67,53,-44,25,72,84
영업이익(발표기준),20,67,53,-44,25,,
세전계속사업이익,14,65,59,-50,35,72,84
당기순이익,12,52,46,-37,39,54,64
  당기순이익(지배),12,52,46,-37,39,54,64
  당기순이익(비지배),,,,,,,
자산총계,114,597,616,555,676,759,841
부채총계,51,113,93,84,139,167,192
자본총계,63,484,523,471,537,592,649
  자본총계(지배),63,484,523,471,537,592,649
  자본총계(비지배),,,,,,,
자본금,2,24,24,48,49,49,49
영업활동현금흐름,31,17,-50,44,-43,74,82
투자활동현금흐름,-11,-96,-204,70,-96,-66,-76
재무활동현금흐름,19,388,-51,-22,32,0,-7
CAPEX,0,54,24,62,5,56,66
FCF,31,-37,-74,-18,-48,15,13
이자발생부채,19,39,8,7,13,,
영업이익률,14.07,21.95,16.70,-21.39,5.41,9.57,9.49
순이익률,8.37,17.16,14.51,-17.84,8.32,7.18,7.23
ROE(%),20.64,19.21,9.19,-7.44,7.68,9.57,10.31
ROA(%),10.11,14.78,7.63,-6.31,6.29,7.53,8.00
부채비율,81.04,23.35,17.73,17.80,25.91,28.21,29.58
자본유보율,"2,856.64","1,904.84","2,056.67",861.72,987.60,,
EPS(원),180,746,480,-383,395,549,651
PER(배),,16.91,31.90,N/A,39.12,23.13,19.51
BPS(원),961,"5,012","5,424","4,880","5,459","6,020","6,600"
PBR(배),0.00,2.52,2.82,4.32,2.83,2.11,1.92
현금DPS(원),0,100,200,0,,110,130
현금배당수익률,,0.79,1.31,0.00,,0.87,1.02
현금배당성향(%),0.00,18.39,41.70,0.00,,20.03,19.97
발행주식수(보통주),"6,534,000","9,650,216","9,650,216","9,650,216","9,833,208",,
