주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,516,784,847,793,804
영업이익,13,11,5,8,5
영업이익(발표기준),13,11,5,8,5
세전계속사업이익,22,26,-37,21,-22
당기순이익,15,23,-28,20,-23
  당기순이익(지배),15,26,-22,23,-17
  당기순이익(비지배),,-4,-6,-3,-6
자산총계,940,"1,351","1,287","1,219","1,319"
부채총계,391,670,618,529,411
자본총계,549,681,669,690,908
  자본총계(지배),549,592,586,610,640
  자본총계(비지배),,,83,80,268
자본금,47,47,52,55,56
영업활동현금흐름,27,14,64,38,36
투자활동현금흐름,-182,197,-88,76,-95
재무활동현금흐름,121,-212,-42,-71,128
CAPEX,15,13,44,13,23
FCF,12,1,19,25,13
이자발생부채,301,522,476,399,289
영업이익률,2.52,1.43,0.63,1.00,0.59
순이익률,2.93,2.89,-3.32,2.47,-2.89
ROE(%),2.80,4.63,-3.72,3.82,-2.76
ROA(%),1.71,1.98,-2.13,1.56,-1.83
부채비율,71.10,98.45,92.33,76.59,45.21
자본유보율,980.62,"1,087.05",978.60,947.97,964.86
EPS(원),160,280,-218,219,-153
PER(배),16.89,9.91,N/A,13.28,N/A
BPS(원),"5,815","6,428","5,890","5,620","5,674"
PBR(배),0.46,0.43,0.42,0.52,0.80
현금DPS(원),0,0,20,0,30
현금배당수익률,0.00,0.00,0.81,0.00,0.66
현금배당성향(%),0.00,0.00,-9.07,0.00,-19.60
발행주식수(보통주),"9,450,000","9,450,000","10,324,479","10,903,267","11,276,679"
