주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,575,"1,081","1,279",848,967,"1,256","1,550"
영업이익,-91,0,144,-227,-53,222,413
영업이익(발표기준),-91,0,144,-227,-53,,
세전계속사업이익,-49,-65,218,-362,361,102,
당기순이익,-85,-104,0,-352,392,111,
  당기순이익(지배),-85,-104,0,-347,402,81,353
  당기순이익(비지배),,,,-5,-10,,
자산총계,"17,363","17,247","18,112","19,789","20,583","20,562",
부채총계,"10,704","10,762","11,388","13,487","12,571","12,460",
자본총계,"6,659","6,484","6,724","6,303","8,012","8,102",
  자본총계(지배),"6,659","6,484","6,724","6,259","6,667","6,761",
  자본총계(비지배),,,,43,"1,344",,
자본금,236,259,277,291,296,302,
영업활동현금흐름,99,360,376,-96,83,-589,
투자활동현금흐름,"-2,571",-279,-316,-772,-190,-130,
재무활동현금흐름,"2,776",-285,-84,914,351,-285,
CAPEX,"2,060",168,538,31,48,0,
FCF,"-1,961",192,-162,-127,35,162,
이자발생부채,"7,547","7,626","7,882","9,120","8,445",,
영업이익률,-15.81,-0.01,11.29,-26.75,-5.51,17.65,26.65
순이익률,-14.75,-9.60,0.04,-41.55,40.53,8.84,
ROE(%),-1.52,-1.58,0.01,,6.23,1.20,
ROA(%),-0.60,-0.60,0.00,,1.94,0.54,
부채비율,160.75,165.97,169.36,213.99,156.91,153.79,
자본유보율,"2,457.29","2,186.37","2,039.58","1,804.88","1,897.26",,
EPS(원),-149,-172,1,-574,666,134,584
PER(배),N/A,N/A,"10,755.18",N/A,13.42,73.75,16.85
BPS(원),"11,052","10,899","11,398","10,758","11,460","11,621",
PBR(배),1.02,0.76,0.74,0.69,0.78,0.85,
현금DPS(원),0,0,0,48,49,60,
현금배당수익률,0.00,0.00,0.00,0.65,0.55,0.61,
현금배당성향(%),0.00,0.00,0.00,-8.06,7.09,44.92,
발행주식수(보통주),"60,399,706","60,399,706","60,399,706","60,399,705","60,399,705",,
