주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"14,658","14,879","12,807","11,358","13,079","13,352","16,791"
영업이익,"1,453","1,130",129,-364,691,569,765
영업이익(발표기준),"1,453","1,130",129,-364,691,,
세전계속사업이익,937,781,129,-448,919,,
당기순이익,652,711,315,"1,807",696,,
  당기순이익(지배),290,357,194,"1,748",699,566,627
  당기순이익(비지배),362,354,121,60,-4,,
자산총계,"17,812","19,130","20,344","6,636","5,917",,
부채총계,"13,366","14,143","15,152","5,259","3,875",,
자본총계,"4,446","4,987","5,192","1,377","2,043",,
  자본총계(지배),"2,601","2,838","2,970","1,414","2,087",,
  자본총계(비지배),"1,845",,"2,223",-37,-44,,
자본금,140,140,140,79,101,,
영업활동현금흐름,"1,846",523,947,669,-23,,
투자활동현금흐름,-910,-608,"-2,219",806,318,,
재무활동현금흐름,-764,129,384,-938,-236,,
CAPEX,838,547,746,713,9,,
FCF,"1,008",-23,202,-44,-33,,
이자발생부채,"9,162","9,444","10,861",592,134,,
영업이익률,9.91,7.60,1.01,-3.21,5.28,4.26,4.56
순이익률,4.45,4.78,2.46,15.91,5.32,,
ROE(%),11.73,13.14,6.68,79.74,39.96,,
ROA(%),3.81,3.85,1.60,13.40,11.09,,
부채비율,300.60,283.59,291.80,381.96,189.70,,
자본유보율,"1,756.88","1,993.75","2,086.73","5,948.19","1,985.05",,
EPS(원),"6,293","7,764","4,212","40,893","26,905","21,774","24,121"
PER(배),13.71,7.01,11.73,1.16,2.30,2.41,2.18
BPS(원),"57,618","64,072","67,189","56,690","83,716",,
PBR(배),1.50,0.85,0.74,0.84,0.74,,
현금DPS(원),456,608,913,913,"1,168",,
현금배당수익률,0.53,1.12,1.85,1.92,1.88,,
현금배당성향(%),7.02,7.35,20.25,1.27,4.11,,
발행주식수(보통주),"4,602,583","4,602,583","4,602,583","2,599,445","2,599,445",,
