주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,391,768,911,454,"1,064","2,033","2,443"
영업이익,31,105,208,6,66,247,318
영업이익(발표기준),31,105,208,6,66,,
세전계속사업이익,26,105,192,20,84,244,315
당기순이익,22,103,171,25,74,226,292
  당기순이익(지배),22,103,171,25,56,177,228
  당기순이익(비지배),,,,,18,,
자산총계,231,404,"1,152","1,273","1,864","2,203","2,489"
부채총계,123,193,118,279,682,878,945
자본총계,108,211,"1,034",994,"1,182","1,325","1,544"
  자본총계(지배),108,211,"1,034",994,"1,044","1,206","1,424"
  자본총계(비지배),,,,,138,,
자본금,7,35,46,46,47,47,47
영업활동현금흐름,36,-30,84,48,-2,-57,159
투자활동현금흐름,-18,-51,-457,-122,21,-122,-147
재무활동현금흐름,46,32,520,96,214,-19,-10
CAPEX,18,50,126,54,95,121,145
FCF,19,-80,-42,-6,-97,-172,19
이자발생부채,78,112,1,169,394,,
영업이익률,7.89,13.68,22.88,1.39,6.22,12.15,13.02
순이익률,5.75,13.46,18.81,5.61,6.91,11.12,11.95
ROE(%),25.64,64.78,,2.51,5.47,15.73,17.34
ROA(%),11.44,32.56,,2.10,4.69,11.11,12.45
부채비율,114.14,91.21,11.42,28.03,57.70,66.26,61.20
자본유보율,"1,442.80",503.54,"2,277.82","2,207.77","2,253.57",,
EPS(원),418,"1,381","2,030",261,572,"1,815","2,338"
PER(배),,,11.76,87.67,54.43,16.72,12.98
BPS(원),"1,443","2,822","10,821","10,530","11,045","12,758","15,064"
PBR(배),0.00,0.00,2.21,2.17,2.82,2.38,2.01
현금DPS(원),23,47,440,190,97,100,100
현금배당수익률,,,1.84,0.83,0.31,0.33,0.33
현금배당성향(%),7.80,3.39,24.48,70.25,16.45,5.51,4.28
발행주식수(보통주),"7,485,770","7,485,770","9,750,373","9,750,373","9,750,373",,
