주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,526,609,650,800,928
영업이익,38,29,30,2,53
영업이익(발표기준),38,29,30,2,53
세전계속사업이익,19,25,41,80,-20
당기순이익,27,20,40,84,-27
  당기순이익(지배),27,20,40,84,-34
  당기순이익(비지배),0,0,0,0,7
자산총계,"1,094","1,176","1,355","1,946","1,683"
부채총계,558,507,594,"1,039",709
자본총계,536,669,760,907,974
  자본총계(지배),536,669,760,902,974
  자본총계(비지배),0,,0,5,0
자본금,176,209,232,241,266
영업활동현금흐름,-59,6,77,175,-124
투자활동현금흐름,-11,-38,-144,-164,-6
재무활동현금흐름,86,68,19,213,47
CAPEX,4,15,109,61,100
FCF,-63,-9,-31,114,-223
이자발생부채,444,436,421,898,571
영업이익률,7.16,4.77,4.55,0.28,5.72
순이익률,5.20,3.21,6.14,10.45,-2.91
ROE(%),5.33,3.24,5.59,10.05,-3.62
ROA(%),2.64,1.72,3.16,5.06,-1.49
부채비율,104.05,75.75,78.17,114.60,72.83
자본유보율,267.55,271.45,275.90,316.44,303.06
EPS(원),78,52,93,176,-67
PER(배),21.59,31.13,32.19,21.01,N/A
BPS(원),"1,525","1,604","1,642","1,873","1,831"
PBR(배),1.10,1.01,1.82,1.97,1.05
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"35,169,296","41,731,440","46,305,180","48,178,714","53,169,438"
