주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,285,129,113,185,368
영업이익,-269,-381,-445,-392,-194
영업이익(발표기준),-269,-381,-445,-392,-194
세전계속사업이익,-193,-341,10,275,-486
당기순이익,-193,-341,10,275,-486
  당기순이익(지배),-193,-341,10,276,-477
  당기순이익(비지배),,,,0,-8
자산총계,"1,407","3,748","3,806","5,969","6,369"
부채총계,268,543,613,604,"1,136"
자본총계,"1,139","3,205","3,193","5,365","5,233"
  자본총계(지배),"1,139","3,205","3,193","5,356","5,177"
  자본총계(비지배),,,,9,55
자본금,100,113,119,123,125
영업활동현금흐름,-261,-201,-416,-227,-127
투자활동현금흐름,178,"-1,856",16,-644,-77
재무활동현금흐름,-36,"2,509",33,734,431
CAPEX,204,79,40,222,564
FCF,-465,-279,-455,-449,-692
이자발생부채,153,346,394,272,522
영업이익률,-94.39,-295.64,-394.02,-211.18,-52.60
순이익률,-67.93,-264.46,8.66,148.49,-131.86
ROE(%),-15.84,-15.68,0.31,,-9.06
ROA(%),-12.91,-13.22,0.26,,-7.87
부채비율,23.55,16.94,19.18,11.25,21.71
자본유보율,953.99,"2,585.27","2,518.08","3,216.22","3,183.88"
EPS(원),-983,"-1,568",43,"1,149","-1,915"
PER(배),N/A,N/A,"1,468.46",108.19,N/A
BPS(원),"5,676","14,152","13,440","21,686","20,686"
PBR(배),12.86,5.13,4.65,5.73,2.82
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"20,066,704","20,427,184","23,761,297","24,697,774","25,029,132"
