주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,304,303,337,346,335
영업이익,13,11,44,41,11
영업이익(발표기준),13,11,44,41,11
세전계속사업이익,9,-4,12,-50,61
당기순이익,9,-4,10,-44,52
  당기순이익(지배),9,-4,10,-44,52
  당기순이익(비지배),,,,,
자산총계,460,530,621,715,906
부채총계,275,364,339,345,407
자본총계,185,166,283,370,499
  자본총계(지배),185,166,283,370,499
  자본총계(비지배),,,,,
자본금,30,30,39,50,54
영업활동현금흐름,52,-1,-7,38,-23
투자활동현금흐름,-29,-17,-15,-12,-55
재무활동현금흐름,-18,20,15,61,214
CAPEX,11,3,6,3,5
FCF,41,-4,-12,35,-28
이자발생부채,207,259,170,127,204
영업이익률,4.23,3.62,13.19,11.85,3.35
순이익률,2.92,-1.40,3.02,-12.87,15.67
ROE(%),4.63,-2.41,4.55,-13.64,12.08
ROA(%),1.94,-0.85,1.77,-6.66,6.47
부채비율,148.52,219.13,119.78,93.42,81.52
자본유보율,421.35,321.00,621.02,624.04,800.60
EPS(원),343,-170,405,-536,492
PER(배),,,,N/A,16.16
BPS(원),"7,259","6,673","3,633","3,664","4,593"
PBR(배),0.00,0.00,0.00,4.27,1.73
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"2,228,960","2,228,960","7,717,850","10,084,400","10,867,730"
