주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"22,600","23,604","37,897","33,912","35,524","41,418","44,996","48,264"
영업이익,"2,245","1,821","2,694","2,721","2,969","2,873","3,438","3,951"
영업이익(발표기준),"2,245","1,821","2,694","2,721","2,969",,,
세전계속사업이익,"1,843","1,639","1,896","1,427","2,959","2,444","3,076","3,553"
당기순이익,"1,434","1,842",586,656,"2,276","1,855","2,327","2,670"
  당기순이익(지배),"1,309","1,626","1,042",569,"1,934","1,758","2,173","2,439"
  당기순이익(비지배),126,216,-456,87,341,,,
자산총계,"28,018","67,549","54,349","62,799","79,406","81,434","85,625","92,596"
부채총계,"13,177","33,293","22,830","24,947","37,373","38,346","40,409","45,716"
자본총계,"14,841","34,256","31,519","37,852","42,033","43,087","45,216","46,880"
  자본총계(지배),"10,283","27,632","29,465","34,373","37,774","39,185","41,383","42,970"
  자본총계(비지배),"4,558",,"2,054","3,479","4,260",,,
자본금,311,"1,106","1,106","1,106","1,106","1,108","1,108","1,108"
영업활동현금흐름,"3,300","5,867","7,434","5,664","7,822","7,164","8,181","8,175"
투자활동현금흐름,"-2,564","-1,584","-2,877","-10,499","-7,271","-7,992","-7,342","-7,251"
재무활동현금흐름,-618,-889,"-6,413","4,900","9,570",100,-602,245
CAPEX,"1,832","2,292","2,823","1,109","1,737","1,678","1,482","1,800"
FCF,"1,468","3,575","4,610","4,555","6,085","1,742","3,014","2,875"
이자발생부채,"6,847","19,267","7,172","11,930","21,728",,,
영업이익률,9.93,7.71,7.11,8.02,8.36,6.94,7.64,8.19
순이익률,6.35,7.80,1.55,1.93,6.41,4.48,5.17,5.53
ROE(%),13.45,8.58,3.65,1.78,5.36,4.57,5.39,5.78
ROA(%),5.16,3.86,0.96,1.12,3.20,2.31,2.79,3.00
부채비율,88.79,97.19,72.43,65.91,88.91,89.00,89.37,97.51
자본유보율,"3,232.31","2,998.11","3,142.72","3,299.46","3,501.27",,,
EPS(원),"21,054","11,514","4,754","2,596","8,822","8,017","9,910","11,122"
PER(배),10.97,17.54,33.57,53.74,15.73,13.12,10.62,9.46
BPS(원),"170,555","140,757","150,071","165,817","182,220","189,029","199,633","207,287"
PBR(배),1.35,1.43,1.06,0.84,0.76,0.56,0.53,0.51
현금DPS(원),"3,000","1,200","1,400","1,600","2,100","1,986","2,068","2,150"
현금배당수익률,1.30,0.59,0.88,1.15,1.51,1.89,1.97,2.04
현금배당성향(%),13.82,14.48,26.37,58.26,22.50,24.77,20.87,19.33
발행주식수(보통주),"6,215,518","21,926,384","21,929,154","21,929,154","21,929,154",,,
