주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,737,945,"1,152","1,159","1,249"
영업이익,19,22,-22,31,-46
영업이익(발표기준),19,22,-22,31,-46
세전계속사업이익,-49,531,-9,408,97
당기순이익,-36,414,-2,323,47
  당기순이익(지배),-46,402,1,316,37
  당기순이익(비지배),10,13,-3,7,10
자산총계,"1,635","2,312","2,414","2,834","4,112"
부채총계,476,709,830,906,"1,784"
자본총계,"1,159","1,603","1,584","1,927","2,329"
  자본총계(지배),892,"1,273","1,220","1,529","1,862"
  자본총계(비지배),267,,364,398,467
자본금,48,96,96,96,99
영업활동현금흐름,119,28,88,89,81
투자활동현금흐름,-319,-112,-37,-21,-986
재무활동현금흐름,206,73,43,29,840
CAPEX,114,109,193,139,473
FCF,4,-80,-105,-50,-392
이자발생부채,233,349,400,433,847
영업이익률,2.57,2.35,-1.90,2.68,-3.69
순이익률,-4.85,43.85,-0.21,27.87,3.80
ROE(%),-5.40,37.11,0.07,22.99,2.20
ROA(%),-2.31,21.00,-0.10,12.31,1.37
부채비율,41.06,44.25,52.39,47.02,76.59
자본유보율,"1,843.42","1,289.47","1,289.39","1,622.61","1,861.97"
EPS(원),-245,"2,093",5,"1,645",192
PER(배),N/A,16.29,"5,634.67",23.34,164.97
BPS(원),"4,647","6,632","6,422","8,044","9,523"
PBR(배),5.14,5.14,3.96,4.77,3.33
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"19,191,510","19,191,510","19,207,010","19,214,510","19,751,708"
